id,genres
862,Animation
862,Comedy
862,Family
8844,Adventure
8844,Fantasy
8844,Family
15602,Romance
15602,Comedy
31357,Comedy
31357,Drama
31357,Romance
11862,Comedy
949,Action
949,Crime
949,Drama
949,Thriller
11860,Comedy
11860,Romance
45325,Action
45325,Adventure
45325,Drama
45325,Family
9091,Action
9091,Adventure
9091,Thriller
710,Adventure
710,Action
710,Thriller
9087,Comedy
9087,Drama
9087,Romance
12110,Comedy
12110,Horror
21032,Family
21032,Animation
21032,Adventure
10858,History
10858,Drama
1408,Action
1408,Adventure
524,Drama
524,Crime
4584,Drama
4584,Romance
5,Crime
5,Comedy
9273,Crime
9273,Comedy
9273,Adventure
11517,Action
11517,Comedy
11517,Crime
8012,Comedy
8012,Thriller
8012,Crime
1710,Drama
1710,Thriller
9691,Action
9691,Adventure
9691,Crime
9691,Thriller
12665,Drama
12665,Fantasy
12665,Science Fiction
12665,Thriller
451,Drama
451,Romance
16420,Drama
9263,Comedy
9263,Drama
9263,Family
17015,Drama
17015,Romance
902,Fantasy
902,Science Fiction
902,Adventure
37557,Drama
37557,Crime
9909,Drama
9909,Crime
63,Science Fiction
63,Thriller
63,Mystery
78802,Romance
78802,Adventure
9598,Fantasy
9598,Drama
9598,Comedy
9598,Family
47018,History
47018,Drama
47018,Romance
687,Drama
139405,Adventure
139405,History
139405,Drama
139405,Family
33689,Comedy
33689,Family
33689,Romance
9603,Comedy
9603,Drama
9603,Romance
34615,Drama
31174,Drama
31174,War
11443,Action
11443,Crime
11443,Drama
11443,History
35196,Drama
35196,Romance
9312,Action
9312,Fantasy
577,Fantasy
577,Drama
577,Comedy
577,Thriller
11861,Drama
11861,Romance
807,Crime
807,Mystery
807,Thriller
10530,Adventure
10530,Animation
10530,Drama
10530,Family
8391,Drama
8391,Romance
629,Drama
629,Crime
629,Thriller
117164,Action
117164,Thriller
117164,Drama
11448,Comedy
11448,Romance
49133,Drama
49133,Foreign
26441,Action
26441,Adventure
26441,Comedy
26441,Family
97406,Drama
124057,
9089,Comedy
9089,Drama
9089,Romance
11010,Comedy
11010,Drama
11010,Romance
99040,Thriller
99040,Drama
99040,Mystery
11359,Adventure
11359,Family
11359,Fantasy
17182,Drama
17182,Thriller
2054,Music
2054,Drama
2054,Family
10607,Comedy
19760,Comedy
19760,Romance
9536,Comedy
11525,Action
11525,Science Fiction
40628,Drama
40628,Family
4482,Comedy
4482,Romance
10634,Comedy
755,Horror
755,Action
755,Thriller
755,Crime
11859,Action
11859,Thriller
11859,Romance
28387,Comedy
28387,Drama
28387,Romance
48750,Drama
48750,History
20927,Drama
20927,Romance
36929,Comedy
36929,Family
9102,Horror
9102,Science Fiction
124626,Documentary
27526,Drama
27526,Thriller
9623,Drama
9623,Thriller
46785,Family
46785,Drama
400,Drama
400,Crime
880,Drama
880,Comedy
146599,Romance
146599,Drama
188588,
8447,Drama
8447,Romance
10534,Action
10534,Drama
17414,Adventure
17414,Comedy
17414,Family
13997,Comedy
2086,Crime
2086,Drama
2086,Thriller
61548,Drama
9095,Drama
9095,Horror
9095,Thriller
9095,Romance
12158,Comedy
12158,Horror
12158,Romance
9283,Comedy
9283,Drama
9283,Romance
9208,Action
9208,Adventure
9208,Drama
9208,Thriller
40154,Comedy
406,Drama
45549,Action
45549,Adventure
45549,Drama
45549,Science Fiction
45549,Thriller
63076,Documentary
11062,Drama
11062,Thriller
13685,Comedy
13685,Crime
13685,Drama
47475,Comedy
47475,Romance
2045,Drama
2045,Mystery
2045,Science Fiction
2045,Thriller
9614,Comedy
688,Drama
688,Romance
11907,Drama
11907,Comedy
11907,Family
10874,Action
10874,Comedy
10874,Music
10874,Family
10874,Adventure
89333,Documentary
96357,Crime
197,Action
197,Drama
197,History
197,War
103,Crime
103,Drama
33542,Crime
33542,Action
33542,Comedy
33542,Thriller
43566,Drama
43566,Thriller
71754,Drama
43612,Comedy
51352,Documentary
51352,Drama
51352,Foreign
16934,Comedy
16934,Crime
16934,Drama
10324,Comedy
10324,Romance
78406,Comedy
78406,Drama
55731,Action
55731,Adventure
55731,Comedy
55731,Drama
55731,Family
32119,Drama
11066,Comedy
11066,Romance
11104,Drama
11104,Comedy
11104,Romance
37975,Drama
37975,Romance
2074,Comedy
2074,Romance
27793,Fantasy
44284,Drama
290157,
110972,Comedy
110972,Romance
32622,Comedy
32622,Drama
73067,Drama
73067,Romance
73067,War
11863,Action
11863,Thriller
11863,Mystery
11863,Romance
55475,Comedy
55475,Drama
55475,Romance
124636,Music
124636,Documentary
9101,Comedy
123360,Documentary
5757,Comedy
39428,Drama
124639,
9302,Drama
9302,Romance
11000,Comedy
249882,Drama
16388,Comedy
16388,Drama
16388,Romance
9737,Action
9737,Comedy
9737,Crime
9737,Thriller
30765,Action
30765,Adventure
30765,Drama
30765,Family
10474,Drama
10474,Crime
22279,Romance
22279,Drama
22279,Comedy
30157,Crime
30157,Comedy
30157,Drama
30157,Thriller
568,Drama
11780,Adventure
34996,Drama
34996,Horror
414,Action
414,Crime
414,Fantasy
649,Drama
649,Romance
1873,Drama
1873,Thriller
5894,Comedy
1775,Action
1775,Comedy
8839,Fantasy
8839,Comedy
8839,Family
20649,Mystery
20649,Crime
20649,Drama
10329,Action
10329,Adventure
10329,Drama
10329,Mystery
10329,Science Fiction
10329,Thriller
8963,Action
8963,Thriller
8963,Drama
26564,Documentary
8068,Thriller
8068,Action
8068,Crime
8512,Drama
8512,Mystery
8512,Thriller
1572,Action
1572,Thriller
13552,Action
13552,Comedy
13552,Crime
13552,Drama
259209,Drama
259209,Crime
6520,Action
6520,Adventure
6520,Drama
6520,Romance
9073,Adventure
10428,Action
10428,Crime
10428,Thriller
10428,Drama
17447,Comedy
17447,Drama
17447,Romance
9886,Adventure
9886,Action
9886,Drama
9886,Science Fiction
9886,Thriller
9482,Science Fiction
19326,Comedy
19326,Drama
9344,Drama
9344,Crime
9071,Drama
9071,Comedy
8973,Mystery
8973,Horror
8973,Thriller
15730,Comedy
15730,Drama
47608,Drama
47608,Family
47608,Romance
2293,Romance
2293,Comedy
9070,Action
9070,Adventure
9070,Science Fiction
9070,Family
9070,Fantasy
68274,Comedy
68274,Drama
68274,Romance
48787,Thriller
48787,Foreign
34574,Horror
34574,Thriller
1642,Crime
1642,Drama
1642,Mystery
1642,Thriller
1642,Action
11472,Comedy
36196,Comedy
11980,Fantasy
11980,Horror
11980,Thriller
58372,Fantasy
58372,Comedy
58372,Drama
32646,Drama
10533,Drama
10533,History
10533,Romance
56088,Documentary
10802,Drama
10149,Comedy
10149,Drama
18402,Comedy
9348,Science Fiction
9348,Horror
9348,Action
139408,Drama
281,Crime
281,Drama
281,Science Fiction
281,Thriller
5967,Drama
5967,Romance
79593,Thriller
47939,Drama
47939,Fantasy
36834,Drama
36834,Romance
9090,Comedy
3512,Action
3512,Thriller
52856,Comedy
52856,Drama
52856,Family
77350,Documentary
9560,Drama
9560,Romance
9804,Adventure
9804,Action
31611,Drama
65796,Action
65796,Western
49805,Drama
26258,Adventure
26258,Action
26258,Comedy
26258,Crime
26258,Family
50797,Drama
