manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class,cty_hwy,city
audi,a4,2.0,2008,4,manual(m6),f,20,31,p,compact,20/31 mpg,20.00 mpg/8.50 kml
audi,a4,2.0,2008,4,auto(av),f,21,30,p,compact,21/30 mpg,21.00 mpg/8.93 kml
audi,a4,3.1,2008,6,auto(av),f,18,27,p,compact,18/27 mpg,18.00 mpg/7.65 kml
audi,a4 quattro,2.0,2008,4,manual(m6),4,20,28,p,compact,20/28 mpg,20.00 mpg/8.50 kml
audi,a4 quattro,2.0,2008,4,auto(s6),4,19,27,p,compact,19/27 mpg,19.00 mpg/8.08 kml
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact,17/25 mpg,17.00 mpg/7.23 kml
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact,15/25 mpg,15.00 mpg/6.38 kml
audi,a6 quattro,3.1,2008,6,auto(s6),4,17,25,p,midsize,17/25 mpg,17.00 mpg/7.23 kml
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize,16/23 mpg,16.00 mpg/6.80 kml
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,14/20 mpg,14.00 mpg/5.95 kml
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv,11/15 mpg,11.00 mpg/4.68 kml
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv,14/20 mpg,14.00 mpg/5.95 kml
chevrolet,c1500 suburban 2wd,6.0,2008,8,auto(l4),r,12,17,r,suv,12/17 mpg,12.00 mpg/5.10 kml
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater,16/26 mpg,16.00 mpg/6.80 kml
chevrolet,corvette,6.2,2008,8,auto(s6),r,15,25,p,2seater,15/25 mpg,15.00 mpg/6.38 kml
chevrolet,corvette,7.0,2008,8,manual(m6),r,15,24,p,2seater,15/24 mpg,15.00 mpg/6.38 kml
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv,14/19 mpg,14.00 mpg/5.95 kml
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv,11/14 mpg,11.00 mpg/4.68 kml
chevrolet,malibu,2.4,2008,4,auto(l4),f,22,30,r,midsize,22/30 mpg,22.00 mpg/9.35 kml
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize,18/29 mpg,18.00 mpg/7.65 kml
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize,17/26 mpg,17.00 mpg/7.23 kml
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,17/24 mpg,17.00 mpg/7.23 kml
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan,17/24 mpg,17.00 mpg/7.23 kml
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,11,17,e,minivan,11/17 mpg,11.00 mpg/4.68 kml
dodge,caravan 2wd,3.8,2008,6,auto(l6),f,16,23,r,minivan,16/23 mpg,16.00 mpg/6.80 kml
dodge,caravan 2wd,4.0,2008,6,auto(l6),f,16,23,r,minivan,16/23 mpg,16.00 mpg/6.80 kml
dodge,dakota pickup 4wd,3.7,2008,6,manual(m6),4,15,19,r,pickup,15/19 mpg,15.00 mpg/6.38 kml
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup,14/18 mpg,14.00 mpg/5.95 kml
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,14/19 mpg,14.00 mpg/5.95 kml
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup,14/19 mpg,14.00 mpg/5.95 kml
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup,9/12 mpg,9.00 mpg/3.83 kml
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,13/17 mpg,13.00 mpg/5.53 kml
dodge,durango 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv,9/12 mpg,9.00 mpg/3.83 kml
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv,13/17 mpg,13.00 mpg/5.53 kml
