mfg,model,regis,year,category_id,category_descr
ALFA ROMEO,4C SPIDER,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,GIULIA QUADRIFOGLIO,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,GIULIA VELOCE,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ALFA ROMEO,GIULIETTA 1.4,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11,3,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB11 V8 COUPE,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,DB9 COUPE,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,RAPIDE S,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,V8 VANTAGE COUPE,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,V8 VANTAGE S COUPE,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANQUISH COUPE,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
ASTON MARTIN,VANQUISH S COUPE,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A3 1.4 TFSI,4,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A3 2.0 TDI,4,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 2.0 TFSI,4,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 40 TFSI S line,15,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 45 TFSI q S line,13,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A4 AV 45 TFSI q S line BE,42,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 2.0T FSI QUATTRO,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI,21,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 40 TFSI S line,22,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 Coupe 45 TFSI q S line,8,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 COUPE 2.0 TFSI,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 40 TFSI,16,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A5 SB 45 TFSI q S line,12,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 1.8 TFSI,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 2.0 TDI,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 35 TFSI,2,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 35 TFSI S line,5,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A6 HYBRID 2.0,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A7 SB 55 TFSI q S line,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A8 L 55 TFSI q Premium,3,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,A8 L 55 TFSI q Prestige,3,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q2 35 TFSI,39,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 2.0 TDI,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 2.0 TFSI QUATTRO,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 2.0T FSI QUATTRO,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q3 35 TFSI q,26,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q5 2.0 TDI QUATTRO,1,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q5 35 TDI q,42,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q5 45 TFSI q S line,23,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
AUDI,Q7 40 TFSI q,28,2561,1,รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน
