Name,Origin,Description
Alexandertorte,Latvia,Pastry strips filled with berries.
Alfajor,Argentina Uruguay,Pastry strips filled with dulce de leche.
Aloo pie,Trinidad and Tobago,"Variant of the samosa. It is a soft, fried pastry made from flour and water, and filled with boiled, spiced and mashed potatoes (aloo being a romanization of the Hindi word for ""potato"") and other vegetables such as green peas or chana dal (split chickpeas without their seedcoat)."
Apple pie,United Kingdom,"Apple pie is a fruit pie (or tart) in which the principal filling ingredient is apples. It is sometimes served with whipped cream, Cheddar cheese, or ice cream on top. Pastry is generally used top-and-bottom, making it a double-crust pie, the upper crust of which may be a circular shaped crust or a pastry lattice woven of strips; exceptions are deep-dish apple pie with a top crust only, and open-face Tarte Tatin."
Apple strudel,Central Europe,"Sliced apples and other fruit are wrapped and cooked in layers of filo pastry. The earliest known recipe is in Vienna, but several countries in central and eastern Europe claim this dish."
Bahulu,Malaysia,"A Malay pastry similar like the Madeleine although with round shapes and different ingredients, made of wheat flour, eggs, sugar and baking powder. Usually served during the religious celebration in the country."
Bakewell pudding,United Kingdom,"First created by accident in Bakewell around 1860, this has a flaky pastry base covered with raspberry jam and topped with custard and almonds. The Bakewell tart is similar but tends to use shortcrust pastry with a layer of sponge instead of custard."
Baklava,Ottoman Empire,"An Ottoman pastry that is rich and sweet, made of layers of filo pastry filled with chopped nuts and sweetened with syrup or honey."
Bakpia Pathok,Indonesia (Yogyakarta)/Philippines,"Small, round-shaped Chinese-Indonesian-Filipino pastries, usually stuffed with mung bean paste."
Banbury cake,"United Kingdom (Banbury, Oxfordshire)","A spiced, currant-filled, flat pastry, similar to Eccles cake (qv)."
Banitsa,Bulgaria,"Prepared by layering a mixture of whisked eggs and pieces of cheese between filo pastry, which is then baked in an oven"
Banket,Netherlands,"Popular during the Christmas season, prepared by rolling pastry dough around an almond paste filling and then baking it. The log is then cut into short lengths for serving, hot or cold."
Bear claw,United States,Sweet breakfast pastry.
Beaver Tail,Canada,"A fried dough pastry, individually hand stretched to resemble a beaver's tail then covered in different toppings including cinnamon and sugar; fruit jams; chocolate; peanut butter; butter and garlic; etc. In some parts of Canada, it is also called an ""Elephant Ear""."
Belekoy,Philippines (Bulacan),"Made with flour, sugar, sesame seeds and vanilla."
Belokranjska povitica,Slovenia,National dish that consists of a pastry roll with fillings. (English: White country (or white mountain) rolled cake).
Berliner,Germany/Central Europe,"A Berliner Pfannkuchen is a traditional North German-Central European pastry similar to a doughnut with no central hole made from sweet yeast dough fried in fat or oil, with a marmalade or jam filling and usually icing, powdered sugar or conventional sugar on top."
Bethmännchen,Germany,"A sweet from Frankfurt on the Main, prepared with marzipan with almond, powdered sugar, rosewater, flour and egg. Typically prepared for Christmas."
Bichon au citron,France,"Similar to a turnover in size, shape, and made of puff pastry. A major distinguishing feature is that it is filled with lemon curd. The outer layer of sugar is sometimes partially caramelized."
Bierock,Eastern Europe,"Meat-filled pocket pastries originating in Central or Eastern Europe, possibly in Germany or Russia. The dish is common among the Volga German community in the United States and Argentina. It was brought to the United States in the 1880s by German Russian Mennonite immigrants. Bierock is filled with cooked and seasoned ground beef, shredded cabbage and onions, then oven baked until the dough is golden brown. Some variants include grated carrots."
Birnbrot,Switzerland,A traditional pastry originating in Switzerland with a filling of dried pears
Bizcocho,"Spain, Latin America",The name given in Spain and several Latin American countries to many variants of buttery flaky pastry and some cookies
Blachinda,Russia,A German-Russian pastry dessert. They are turnovers made of a pie-like crust and filled with a pumpkin filling.
Börek,Ottoman Empire,"A family of baked or fried filled pastries made of a thin flaky dough known as yufka. It can be filled with cheese, often white cheese or kaşar; minced meat, potatoes or vegetables. Most probably invented in what is now Modern Turkey, in the early times of the Ottoman Empire, to become a popular element of Ottoman cuisine. A börek may be prepared in a large pan and cut into portions after baking, or as individual pastries. The top of the börek is often sprinkled with sesame seeds."
Bossche bol,Netherlands,"Sometimes called chocoladebol (""chocolate ball"") in its city of origin, is a pastry from the Dutch city of 's-Hertogenbosch (also called Den Bosch). It is effectively a large profiterole, about 12 centimetres (4.7 in) in diameter, filled with whipped cream and coated entirely or almost entirely with (usually dark) chocolate."
Bougatsa,Greece,"A Greek breakfast pastry consisting of semolina, custard, feta or minced meat filling between layers of filo. When with semolina or custard filling is considered a sweet dessert and is topped with icing sugar and cinnamon powder."
Boyoz,Turkey (İzmir),"A Turkish pastry associated with İzmir, Turkey. Boyoz paste is a mixture of flour, sunflower oil and a small addition of tahini. It is kneaded by hand and the ball of paste is left to repose for 2- hours. The paste is then flattened to the width of a dish and left to repose again. It is then kneaded and opened once more, before being formed into a roll and left to repose as such for a further period of several hours. When the tissue of the paste is still soft but about to detach into pieces, it is cut into small balls and put in rows of small pans and marinaded in vegetable oil between half an hour and one hour. Their paste then takes an oval form and acquires the consistence of a millefeuille. The small balls can then be put on a tray into a very high-temperature oven either in plain form or with fillings of cheese or spinach added inside."
