Rank,Country,Reading
1,Singapore,535
2,Hong Kong,527
3,Canada,527
4,Finland,526
5,Ireland,521
6,Estonia,519
7,South Korea,517
8,Japan,516
9,Norway,513
10,New Zealand,509
11,Germany,509
12,Macau,509
13,Poland,506
14,Slovenia,505
15,Netherlands,503
16,Australia,503
17,Sweden,500
18,Denmark,500
19,France,499
20,Belgium,499
21,Portugal,498
22,United Kingdom,498
23,Taiwan,497
24,United States,497
25,Spain,496
26,Russia,495
27,China,494
28,Switzerland,492
29,Latvia,488
30,Czech Republic,487
31,Croatia,487
32,Vietnam,487
33,Austria,485
34,Italy,485
35,Iceland,482
36,Luxembourg,481
37,Israel,479
38,Lithuania,472
39,Hungary,470
40,Greece,467
41,Chile,459
42,Slovakia,453
43,Malta,447
44,Cyprus,443
45,Uruguay,437
46,Romania,434
47,United Arab Emirates,434
48,Bulgaria,432
49,Turkey,428
51,Costa Rica,427
52,Trinidad and Tobago,427
53,Kazakhstan,427
54,Montenegro,427
56,Colombia,425
57,Mexico,423
58,Moldova,416
59,Thailand,409
60,Jordan,408
61,Brazil,407
62,Albania,405
63,Qatar,402
64,Georgia,401
65,Peru,398
66,Indonesia,397
67,Tunisia,361
68,Dominican Republic,358
69,Macedonia,352
70,Algeria,350
71,Kosovo,347
72,Lebanon,347
