subject	country	score
Mathematics	China	591
Mathematics	Singapore	569
Mathematics	Macau	558
Mathematics	HongKong	551
Mathematics	Taiwan	531
Mathematics	Japan	527
Mathematics	Korea	526
Mathematics	Estonia	523
Mathematics	Netherlands	519
Mathematics	Poland	516
Mathematics	Switzerland	515
Mathematics	Canada	512
Mathematics	Denmark	509
Mathematics	Slovenia	509
Mathematics	Belgium	508
Mathematics	Finland	507
Mathematics	Sweden	502
Mathematics	United Kingdom	502
Mathematics	Norway	501
Mathematics	Germany	500
Mathematics	Ireland	500
Mathematics	Czech Republic	499
Mathematics	Austria	499
Mathematics	Latvia	496
Mathematics	France	495
Mathematics	Iceland	495
Mathematics	New Zealand	494
Mathematics	Portugal	492
Mathematics	Australia	491
Mathematics	Russia	488
Mathematics	Italy	487
Mathematics	Slovakia	486
Mathematics	Luxembourg	483
Mathematics	Spain	481
Mathematics	Lithuania	481
Mathematics	Hungary	481
Mathematics	United States	478
Mathematics	Belarus	472
Mathematics	Malta	472
Mathematics	Croatia	464
Mathematics	Israel	463
Mathematics	Turkey	454
Mathematics	Ukraine	453
Mathematics	Greece	451
Mathematics	Cyprus	451
Mathematics	Serbia	448
Mathematics	Malaysia	440
Mathematics	Albania	437
Mathematics	Bulgaria	436
Mathematics	United Arab Emirates	435
Mathematics	Brunei	430
Mathematics	Romania	430
Mathematics	Montenegro	430
Mathematics	Kazakhstan	423
Mathematics	Moldova	421
Mathematics	Azerbaijan	420
Mathematics	Thailand	419
Mathematics	Uruguay	418
Mathematics	Chile	417
Mathematics	Qatar	414
Mathematics	Mexico	409
Mathematics	Bosnia and Herzegovina	406
Mathematics	Costa Rica	402
Mathematics	Peru	400
Mathematics	Jordan	400
Mathematics	Georgia	398
Mathematics	North Macedonia	394
Mathematics	Lebanon	393
Mathematics	Colombia	391
Mathematics	Brazil	384
Mathematics	Argentina	379
Mathematics	Indonesia	379
Mathematics	Saudi Arabia	373
Mathematics	Morocco	368
Mathematics	Kosovo	366
Mathematics	Panama	353
Mathematics	Philippines	353
Mathematics	Dominican Republic	325
Science	China	590
Science	Singapore	551
Science	Macau	544
Science	Estonia	530
Science	Japan	529
Science	Finland	522
Science	Korea	519
Science	Canada	518
Science	HongKong	517
Science	Taiwan	516
Science	Poland	511
Science	New Zealand	508
Science	Slovenia	507
Science	United Kingdom	505
Science	Netherlands	503
Science	Germany	503
Science	Australia	503
Science	United States	502
Science	Sweden	499
Science	Belgium	499
Science	Czech Republic	497
Science	Ireland	496
Science	Switzerland	495
Science	France	493
Science	Denmark	493
Science	Portugal	492
Science	Norway	490
Science	Austria	490
Science	Latvia	487
Science	Spain	483
Science	Lithuania	482
Science	Hungary	481
Science	Russia	478
Science	Luxembourg	477
Science	Iceland	475
Science	Croatia	472
Science	Belarus	471
Science	Ukraine	469
Science	Turkey	468
Science	Italy	468
Science	Slovakia	464
Science	Israel	462
Science	Malta	457
Science	Greece	452
Science	Chile	444
Science	Serbia	440
Science	Cyprus	439
Science	Malaysia	438
Science	United Arab Emirates	434
Science	Brunei	431
Science	Jordan	429
Science	Moldova	428
Science	Thailand	426
Science	Uruguay	426
Science	Romania	426
Science	Bulgaria	424
Science	Mexico	419
Science	Qatar	419
Science	Albania	417
Science	CostaRica	416
Science	Montenegro	415
Science	Colombia	413
Science	North Macedonia	413
Science	Peru	404
Science	Argentina	404
Science	Brazil	404
Science	Bosnia and Herzegovina	398
Science	Azerbaijan	398
Science	Kazakhstan	397
Science	Indonesia	396
Science	Saudi Arabia	386
Science	Lebanon	384
Science	Georgia	383
Science	Morocco	377
Science	Kosovo	365
Science	Panama	365
Science	Philippines	357
Science	Dominican Republic	336
Reading	China	555
Reading	Singapore	549
Reading	Macau	525
Reading	HongKong	524
Reading	Estonia	523
Reading	Canada	520
Reading	Finland	520
Reading	Ireland	518
Reading	Korea	514
Reading	Poland	512
Reading	Sweden	506
Reading	New Zealand	506
Reading	United States	505
Reading	United Kingdom	504
Reading	Japan	504
Reading	Australia	503
Reading	Taiwan	503
Reading	Denmark	501
Reading	Norway	499
Reading	Germany	498
Reading	Slovenia	495
Reading	Belgium	493
Reading	France	493
Reading	Portugal	492
Reading	Czech Republic	490
Reading	Netherlands	485
Reading	Austria	484
Reading	Switzerland	484
Reading	Croatia	479
Reading	Latvia	479
Reading	Russia	479
Reading	Italy	476
Reading	Hungary	476
Reading	Lithuania	476
Reading	Iceland	474
Reading	Belarus	474
Reading	Israel	470
Reading	Luxembourg	470
Reading	Ukraine	466
Reading	Turkey	466
Reading	Slovakia	458
Reading	Greece	457
Reading	Chile	452
Reading	Malta	448
Reading	Serbia	439
Reading	United Arab Emirates	432
Reading	Romania	428
Reading	Uruguay	427
Reading	Costa Rica	426
Reading	Cyprus	424
Reading	Moldova	424
Reading	Montenegro	421
Reading	Mexico	420
Reading	Bulgaria	420
Reading	Jordan	419
Reading	Malaysia	415
Reading	Brazil	413
Reading	Colombia	412
Reading	Brunei	408
Reading	Qatar	407
Reading	Albania	405
Reading	Bosnia and Herzegovina	403
Reading	Argentina	402
Reading	Peru	401
Reading	SaudiArabia	399
Reading	Thailand	393
Reading	North Macedonia	393
Reading	Azerbaijan	389
Reading	Kazakhstan	387
Reading	Georgia	380
Reading	Panama	377
Reading	Indonesia	371
Reading	Morocco	359
Reading	Lebanon	353
Reading	Kosovo	353
Reading	Dominican Republic	342
Reading	Philippines	340
