country,Mathematics,Reading,Science,Total,Rank
Albania,437.0,405.0,417.0,1259.0,55.0
Argentina,379.0,402.0,404.0,1185.0,68.0
Australia,491.0,503.0,503.0,1497.0,21.0
Austria,499.0,484.0,490.0,1473.0,28.0
Azerbaijan,420.0,389.0,398.0,1207.0,62.0
Belarus,472.0,474.0,471.0,1417.0,36.0
Belgium,508.0,493.0,499.0,1500.0,20.0
Bosnia and Herzegovina,406.0,403.0,398.0,1207.0,62.0
Brazil,384.0,413.0,404.0,1201.0,66.0
Brunei,430.0,408.0,431.0,1269.0,53.0
Bulgaria,436.0,420.0,424.0,1280.0,50.0
Canada,512.0,520.0,518.0,1550.0,8.0
Chile,417.0,452.0,444.0,1313.0,46.0
China,591.0,555.0,590.0,1736.0,1.0
Colombia,391.0,412.0,413.0,1216.0,61.0
Costa Rica,402.0,426.0,416.0,1244.0,58.0
Croatia,464.0,479.0,472.0,1415.0,37.0
Cyprus,451.0,424.0,439.0,1314.0,45.0
Czech Republic,499.0,490.0,497.0,1486.0,24.0
Denmark,509.0,501.0,493.0,1503.0,18.0
Dominican Republic,325.0,342.0,336.0,1003.0,77.0
Estonia,523.0,523.0,530.0,1576.0,5.0
Finland,507.0,520.0,522.0,1549.0,10.0
France,495.0,493.0,493.0,1481.0,26.0
Georgia,398.0,380.0,383.0,1161.0,69.0
Germany,500.0,498.0,503.0,1501.0,19.0
Greece,451.0,457.0,452.0,1360.0,43.0
Hong Kong,551.0,524.0,517.0,1592.0,4.0
Hungary,481.0,476.0,481.0,1438.0,33.0
Iceland,495.0,474.0,475.0,1444.0,31.0
Indonesia,379.0,371.0,396.0,1146.0,71.0
Ireland,500.0,518.0,496.0,1514.0,12.0
Israel,463.0,470.0,462.0,1395.0,39.0
Italy,487.0,476.0,468.0,1431.0,34.0
Japan,527.0,504.0,529.0,1560.0,6.0
Jordan,400.0,419.0,429.0,1248.0,56.0
Kazakhstan,423.0,387.0,397.0,1207.0,62.0
Korea,526.0,514.0,519.0,1559.0,7.0
Kosovo,366.0,353.0,365.0,1084.0,75.0
Latvia,496.0,479.0,487.0,1462.0,29.0
Lebanon,393.0,353.0,384.0,1130.0,72.0
Lithuania,481.0,476.0,482.0,1439.0,32.0
Luxembourg,483.0,470.0,477.0,1430.0,35.0
Macau,558.0,525.0,544.0,1627.0,3.0
Malaysia,440.0,415.0,438.0,1293.0,48.0
Malta,472.0,448.0,457.0,1377.0,42.0
Mexico,409.0,420.0,419.0,1248.0,56.0
Moldova,421.0,424.0,428.0,1273.0,51.0
Montenegro,430.0,421.0,415.0,1266.0,54.0
Morocco,368.0,359.0,377.0,1104.0,73.0
Netherlands,519.0,485.0,503.0,1507.0,16.0
New Zealand,494.0,506.0,508.0,1508.0,15.0
North Macedonia,394.0,393.0,413.0,1200.0,67.0
Norway,501.0,499.0,490.0,1490.0,23.0
Panama,353.0,377.0,365.0,1095.0,74.0
Peru,400.0,401.0,404.0,1205.0,65.0
Philippines,353.0,340.0,357.0,1050.0,76.0
Poland,516.0,512.0,511.0,1539.0,11.0
Portugal,492.0,492.0,492.0,1476.0,27.0
Qatar,414.0,407.0,419.0,1240.0,59.0
Romania,430.0,428.0,426.0,1284.0,49.0
Russia,488.0,479.0,478.0,1445.0,30.0
Saudi Arabia,373.0,399.0,386.0,1158.0,70.0
Serbia,448.0,439.0,440.0,1327.0,44.0
Singapore,569.0,549.0,551.0,1669.0,2.0
Slovakia,486.0,458.0,464.0,1408.0,38.0
Slovenia,509.0,495.0,507.0,1511.0,13.0
Spain,481.0,,483.0,,
Sweden,502.0,506.0,499.0,1507.0,16.0
Switzerland,515.0,484.0,495.0,1494.0,22.0
Taiwan,531.0,503.0,516.0,1550.0,8.0
Thailand,419.0,393.0,426.0,1238.0,60.0
Turkey,454.0,466.0,468.0,1388.0,40.0
Ukraine,453.0,466.0,469.0,1388.0,40.0
United Arab Emirates,435.0,432.0,434.0,1301.0,47.0
United Kingdom,502.0,504.0,505.0,1511.0,13.0
United States,478.0,505.0,502.0,1485.0,25.0
Uruguay,418.0,427.0,426.0,1271.0,52.0
