Climate HousingCost HlthCare Crime  Transp Educ Arts  Recreat Econ CaseNum  Long Lat Pop StNum  
Abilene,TX                                         521 6200 237 923 4031 2757 996 1405 7633 1 -99.68899999999999 32.559 110932 44                       
Akron,OH					   575 8138 1656 886 4883 2438 5564 2632 4350 2 -81.518 41.085 660328 36                                
Albany,GA					   468 7339 618 970 2531 2560 237 859 5250 3 -84.158 31.575 112402 11                                   
Albany-Schenectady-Troy,NY			   476 7908 1431 610 6883 3399 4655 1617 5864 4 -73.7983 42.7327 835880 35                              
Albuquerque,NM					   659 8393 1853 1483 6558 3026 4496 2612 5727 5 -106.65 35.083 419700 33                               
Alexandria,LA					   520 5819 640 727 2444 2972 334 1018 5254 6 -92.453 31.302 135282 19                                  
Allentown,Bethlehem,PA-NJ			   559 8288 621 514 2881 3144 2333 1117 5097 7 -75.4405 40.6155 635481 39                               
Alton,Granite-City,IL				   537 6487 965 706 4975 2945 1487 1280 5795 8 -90.1615 38.794 268229 15                                
Altoona,PA					   561 6191 432 399 4246 2778 256 1210 4230 9 -78.395 40.515 136621 39                                  
Amarillo,TX					   609 6546 669 1073 4902 2852 1235 1109 6241 10 -101.849 35.383 173699 44                              
Anaheim-Santa-Ana,CA				   885 16047 2025 983 3954 2843 5632 3156 6220 11 -117.889 33.799 1932709 5                             
Anchorage,AK					   195 12175 601 1223 5091 2414 2346 3000 7668 12 -127.2016 48.88046 174431 1                           
Anderson,IN					   530 5704 580 878 2865 2469 430 838 3370 13 -85.685 40.167 139336 16                                  
Anderson,SC					   591 5725 820 975 2707 2772 169 613 4262 14 -82.655 34.51 133235 41                                   
Ann-Arbor,MI					   546 11014 2508 1067 3433 3346 7559 2288 4579 15 -83.75 42.283 264748 23                              
Anniston,AL					   560 5530 598 1125 3051 2189 268 1165 4730 16 -85.827 33.655 119761 2                                 
Appleton-Oshkosh-Neenah,WI			   396 7877 833 525 3298 2844 1166 2315 5275 17 -88.46729999999999 44.158 291369 49                     
Asheville,NC					   694 6722 1204 566 5086 2990 1391 1542 5196 18 -82.557 35.593 160934 28                               
Athens,GA					   601 6691 605 933 1866 2646 3546 1001 5193 19 -83.383 33.957 130015 11                                
Atlanta,GA					   696 8316 3195 1308 8409 3057 7559 1362 6315 20 -84.319 33.763 2138231 11                             
Atlantic-City,NJ				   615 11074 637 1878 3556 2929 621 2711 8107 21 -74.438 39.367 276385 32                               
Augusta,GA-SC					   534 6292 1798 872 2523 2915 1047 913 5431 22 -81.967 33.47 345918 11                                 
Aurora-Elgin,IL					   474 10384 1203 821 3943 2208 3857 1800 5097 23 -88.2805 41.8935 315607 15                            
Austin,TX					   435 8831 782 1049 3670 3063 5355 1063 7439 24 -97.742 30.282 536688 44                               
Bakersfield,CA					   560 8068 420 1561 3725 2564 1222 1568 6056 25 -119.022 35.375 403089 5                               
Baltimore,MD					   567 9148 3562 1730 7405 3471 9788 2925 5503 26 -76.617 39.288 2199531 21                             
Bangor,ME					   451 7277 780 651 5613 2934 1995 2148 5172 27 -68.77200000000001 44.802 83919 22                      
Baton-Rouge,LA					   427 8083 342 1565 3329 2635 4237 1413 6308 28 -91.185 30.45 494151 19                                
Battle-Creek,MI					   527 6342 900 1031 4652 2483 354 1648 4008 29 -85.182 42.322 141557 23                                
Beaumont-Port-Arthur,TX				   423 6288 616 1313 2782 2745 1795 1813 6019 30 -94.0125 29.991 375497 44                              
Beaver-County,PA				   586 7866 861 310 2960 2535 1284 1480 3119 31 -80.315 40.693 204441 39                                
Bellingham,WA					   772 8329 240 825 3776 2778 1302 3200 4247 32 -122.483 48.763 106701 48                               
Benton-Harbor,MI				   566 6761 570 1190 2989 2545 79 1477 3635 33 -86.447 42.105 171276 23                                 
Bergen-Passaic,NJ				   559 14607 2661 857 3511 3653 9304 1918 6016 34 -74.059 40.891 1292970 32                             
Billings,MT					   452 8315 479 810 6285 3008 778 2046 5913 35 -108.505 45.78 108035 27                                 
Biloxi-Gulfport,MS				   584 6458 441 810 2516 2592 679 2106 5801 36 -88.9695 30.3975 182202 26                               
Binghampton,NY					   550 8257 1007 415 4529 3052 1599 1722 5614 37 -75.913 42.098 263460 35                               
Birmingham,AL					   612 6811 1692 1123 5177 2851 3958 1234 4843 38 -86.807 33.512 883946 2                               
Bismarck,ND					   149 8365 804 413 4303 2686 1211 1630 6019 39 -100.778 46.807 79988 29                                
Bloomington,IN					   558 7056 731 657 1746 2873 2152 1990 4829 40 -86.52800000000001 39.165 98785 16                      
Bloomington-Normal,IL				   487 8654 815 673 5889 2854 1470 1605 5863 41 -88.98999999999999 40.495 119149 15                     
Boise-City,ID					   592 8221 453 880 6575 2391 2385 1672 4633 42 -116.218 43.613 173036 14                               
