name_th	name_en	region	destination
กระบี่	Krabi	ใต้	เมืองหลัก
กรุงเทพมหานคร	Bangkok	กลาง	เมืองหลัก
กาญจนบุรี	Kanchanaburi	ตะวันตก	เมืองหลัก
กาฬสินธุ์	Kalasin	ตะวันออกเฉียงเหนือ	เมืองรอง
กำแพงเพชร	Kamphaeng Phet	กลาง	เมืองรอง
ขอนแก่น	Khon Kaen	ตะวันออกเฉียงเหนือ	เมืองหลัก
จันทบุรี	Chanthaburi	ตะวันออก	เมืองรอง
ฉะเชิงเทรา	Chachoengsao	ตะวันออก	เมืองหลัก
ชลบุรี	Chon Buri	ตะวันออก	เมืองหลัก
ชัยนาท	Chai Nat	กลาง	เมืองรอง
ชัยภูมิ	Chaiyaphum	ตะวันออกเฉียงเหนือ	เมืองรอง
ชุมพร	Chumphon	ใต้	เมืองรอง
เชียงราย	Chiang Rai	เหนือ	เมืองรอง
เชียงใหม่	Chiang Mai	เหนือ	เมืองหลัก
ตรัง	Trang	ใต้	เมืองรอง
ตราด	Trat	ตะวันออก	เมืองรอง
ตาก	Tak	ตะวันตก	เมืองรอง
นครนายก	Nakhon Nayok	กลาง	เมืองรอง
นครปฐม	Nakhon Pathom	กลาง	เมืองหลัก
นครพนม	Nakhon Phanom	ตะวันออกเฉียงเหนือ	เมืองรอง
นครราชสีมา	Nakhon Ratchasima	ตะวันออกเฉียงเหนือ	เมืองหลัก
นครศรีธรรมราช	Nakhon Si Thammarat	ใต้	เมืองรอง
นครสวรรค์	Nakhon Sawan	กลาง	เมืองรอง
นนทบุรี	Nonthaburi	กลาง	เมืองหลัก
นราธิวาส	Narathiwat	ใต้	เมืองรอง
น่าน	Nan	เหนือ	เมืองรอง
บึงกาฬ	Bueng Kan	ตะวันออกเฉียงเหนือ	เมืองรอง
บุรีรัมย์	Buri Ram	ตะวันออกเฉียงเหนือ	เมืองรอง
ปทุมธานี	Pathum Thani	กลาง	เมืองหลัก
ประจวบคีรีขันธ์	Prachuap Khiri Khan	ตะวันตก	เมืองหลัก
ปราจีนบุรี	Prachin Buri	ตะวันออก	เมืองรอง
ปัตตานี	Pattani	ใต้	เมืองรอง
พระนครศรีอยุธยา	Phra Nakhon Si Ayutthaya	กลาง	เมืองหลัก
พะเยา	Phayao	เหนือ	เมืองรอง
พังงา	Phangnga	ใต้	เมืองหลัก
พัทลุง	Phatthalung	ใต้	เมืองรอง
พิจิตร	Phichit	กลาง	เมืองรอง
พิษณุโลก	Phitsanulok	กลาง	เมืองรอง
เพชรบุรี	Phetchaburi	ตะวันตก	เมืองหลัก
เพชรบูรณ์	Phetchabun	กลาง	เมืองรอง
แพร่	Phrae	เหนือ	เมืองรอง
ภูเก็ต	Phuket	ใต้	เมืองหลัก
มหาสารคาม	Maha Sarakham	ตะวันออกเฉียงเหนือ	เมืองรอง
มุกดาหาร	Mukdahan	ตะวันออกเฉียงเหนือ	เมืองรอง
แม่ฮ่องสอน	Mae Hong Son	เหนือ	เมืองรอง
ยโสธร	Yasothon	ตะวันออกเฉียงเหนือ	เมืองรอง
ยะลา	Yala	ใต้	เมืองรอง
ร้อยเอ็ด	Roi Et	ตะวันออกเฉียงเหนือ	เมืองรอง
ระนอง	Ranong	ใต้	เมืองรอง
ระยอง	Rayong	ตะวันออก	เมืองหลัก
ราชบุรี	Ratchaburi	ตะวันตก	เมืองรอง
ลพบุรี	Lop Buri	กลาง	เมืองรอง
ลำปาง	Lampang	เหนือ	เมืองรอง
ลำพูน	Lamphun	เหนือ	เมืองรอง
เลย	Loei	ตะวันออกเฉียงเหนือ	เมืองรอง
ศรีสะเกษ	Si Sa Ket	ตะวันออกเฉียงเหนือ	เมืองรอง
สกลนคร	Sakon Nakhon	ตะวันออกเฉียงเหนือ	เมืองรอง
สงขลา	Songkhla	ใต้	เมืองหลัก
สตูล	Satun	ใต้	เมืองรอง
สมุทรปราการ	Samut Prakan	กลาง	เมืองหลัก
สมุทรสงคราม	Samut Songkhram	กลาง	เมืองรอง
สมุทรสาคร	Samut Sakhon	กลาง	เมืองหลัก
สระแก้ว	Sa Kaeo	ตะวันออก	เมืองรอง
สระบุรี	Saraburi	กลาง	เมืองหลัก
สิงห์บุรี	Sing Buri	กลาง	เมืองรอง
สุโขทัย	Sukhothai	กลาง	เมืองรอง
สุพรรณบุรี	Suphan Buri	กลาง	เมืองรอง
สุราษฎร์ธานี	Surat Thani	ใต้	เมืองหลัก
สุรินทร์	Surin	ตะวันออกเฉียงเหนือ	เมืองรอง
หนองคาย	Nong Khai	ตะวันออกเฉียงเหนือ	เมืองรอง
หนองบัวลำภู	Nong Bua Lam Phu	ตะวันออกเฉียงเหนือ	เมืองรอง
อ่างทอง	Ang Thong	กลาง	เมืองรอง
อำนาจเจริญ	Amnat Charoen	ตะวันออกเฉียงเหนือ	เมืองรอง
อุดรธานี	Udon Thani	ตะวันออกเฉียงเหนือ	เมืองรอง
อุตรดิตถ์	Uttaradit	เหนือ	เมืองรอง
อุทัยธานี	Uthai Thani	กลาง	เมืองรอง
อุบลราชธานี	Ubon Ratchathani	ตะวันออกเฉียงเหนือ	เมืองรอง
