ชื่อจังหวัด อักษรไทย,ชื่อจังหวัด อักษรโรมัน,จำนวนประชากร (คน),พื้นที่ (ตร.กม.),ความหนาแน่น ประชากร (คน/ตร.กม.),ดพม.[2],ตัวย่อ อักษรไทย,ตัวย่อ อักษรโรมัน,รหัส ไอเอสโอ,รหัสฟิปส์
กระบี่,Krabi,432704,4708.5,91.9,0.805,กบ,KBI,TH-81,TH63
ชุมพร,Chumphon,489964,6009.0,81.5,0.71,ชพ,CPN,TH-86,TH58
ตรัง,Trang,622659,4917.5,126.6,0.6920000000000001,ตง,TRG,TH-92,TH65
นครศรีธรรมราช,Nakhon Si Thammarat,1522561,9942.5,153.1,0.769,นศ,NRT,TH-80,TH64
นราธิวาส,Narathiwat,737162,4475.4,164.7,0.636,นธ,NWT,TH-96,TH31
ปัตตานี,Pattani,655259,1940.4,337.7,0.698,ปน,PTN,TH-94,TH69
พังงา,Phangnga,253112,4170.0,60.7,0.758,พง,PNA,TH-82,TH61
พัทลุง,Phatthalung,509534,3424.5,148.8,0.713,พท,PLG,TH-93,TH66
ภูเก็ต,Phuket,345067,543.0,635.5,0.9209999999999999,ภก,PKT,TH-83,TH62
ยะลา,Yala,500814,4521.08,110.77,0.687,ยล,YLA,TH-95,TH70
ระนอง,Ranong,183079,3298.0,55.5,0.6779999999999999,รน,RNG,TH-85,TH59
สงขลา,Songkhla,1357023,7393.9,183.5,0.6809999999999999,สข,SKA,TH-90,TH68
สตูล,Satun,297163,2479.0,119.9,0.655,สต,STN,TH-91,TH67
สุราษฎร์ธานี,Surat Thani,1046772,12891.5,81.2,0.8490000000000001,สฎ,SNI,TH-84,TH60
