abbr,province_th,province_en
กจ,กาญจนบุรี,Kanchanaburi
กทม,กรุงเทพมหานคร,Bangkok
จบ,จันทบุรี,Chanthaburi
ฉช,ฉะเชิงเทรา,Chachoengsao
ชน,ชัยนาท,Chainat
ชบ,ชลบุรี,Chonburi
ตร,ตราด,Trat
นฐ,นครปฐม,Nakhon Pathom
นบ,นนทบุรี,Nonthaburi
นย,นครนายก,Nakhon Nayok
ปข,ประจวบคีรีขันธ์,Prachuap Khiri Khan
ปจ,ปราจีนบุรี,Prachinburi
ปท,ปทุมธานี,Pathum Thani
พบ,เพชรบุรี,Phetchaburi
รบ,ราชบุรี,Ratchaburi
รย,ระยอง,Rayong
ลบ,ลพบุรี,Lopburi
สก,สระแก้ว,Sa Kaeo
สค,สมุทรสาคร,Samut Sakhon
สบ,สระบุรี,Saraburi
สป,สมุทรปราการ,Samut Prakan
สพ,สุพรรณบุรี,Suphan Buri
สส,สมุทรสงคราม,Samut Songkhram
สห,สิงห์บุรี,Sing Buri
อท,อ่างทอง,Ang Thong
อย,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya
กพ,กำแพงเพชร,Kamphaeng Phet
ชม,เชียงใหม่,Chiang Mai
ชร,เชียงราย,Chiang Rai
ตก,ตาก,Tak
นน,น่าน,Nan
นว,นครสวรรค์,Nakhon Sawan
พจ,พิจิตร,Phichit
พช,เพชรบูรณ์,Phetchabun
พย,พะเยา,Phayao
พร,แพร่,Phrae
พล,พิษณุโลก,Phitsanulok
มส,แม่ฮ่องสอน,Mae Hong Son
ลป,ลำปาง,Lampang
ลพ,ลำพูน,Lamphun
สท,สุโขทัย,Sukhothai
อต,อุตรดิตถ์,Uttaradit
อน,อุทัยธานี,Uthai Thani
กส,กาฬสินธุ์,Kalasin
ขก,ขอนแก่น,Khon Kaen
ชย,ชัยภูมิ,Chaiyaphum
นค,หนองคาย,Nong Khai
นพ,นครพนม,Nakhon Phanom
นภ,หนองบัวลำภู,Nong Bua Lamphu
นม,นครราชสีมา,Nakhon Ratchasima
บก,บึงกาฬ,Bueng Kan
บร,บุรีรัมย์,Buriram
มค,มหาสารคาม,Maha Sarakham
มห,มุกดาหาร,Mukdahan
ยส,ยโสธร,Yasothon
รอ,ร้อยเอ็ด,Roi Et
ลย,เลย,Loei
ศก,ศรีสะเกษ,Sisaket
สน,สกลนคร,Sakon Nakhon
สร,สุรินทร์,Surin
อจ,อำนาจเจริญ,Amnat Charoen
อด,อุดรธานี,Udon Thani
อบ,อุบลราชธานี,Ubon Ratchathani
กบ,กระบี่,Krabi
ชพ,ชุมพร,Chumphon
ตง,ตรัง,Trang
นธ,นราธิวาส,Narathiwat
นศ,นครศรีธรรมราช,Nakhon Si Thammarat
ปน,ปัตตานี,Pattani
พง,พังงา,Phang Nga
พท,พัทลุง,Phattalung
ภก,ภูเก็ต,Phuket
ยล,ยะลา,Yala
รน,ระนอง,Ranong
สข,สงขลา,Songkhla
สฎ,สุราษฎร์ธานี,Surat Thani
สต,สตูล,Satun
