region,name_th,name_en,area_km2,abbr,abbr3,iso
กลาง,กรุงเทพมหานคร,Bangkok,1568.7,กท,BKK,TH-10
กลาง,กำแพงเพชร,Kamphaeng Phet,8607.5,กพ,KPT,TH-62
กลาง,ชัยนาท,Chai Nat,2469.7,ชน,CNT,TH-18
กลาง,นครนายก,Nakhon Nayok,2122,นย,NYK,TH-26
กลาง,นครปฐม,Nakhon Pathom,2168.3,นฐ,NPT,TH-73
กลาง,นครสวรรค์,Nakhon Sawan,9597.7,นว,NSN,TH-60
กลาง,นนทบุรี,Nonthaburi,622.3,นบ,NBI,TH-12
กลาง,ปทุมธานี,Pathum Thani,1525.9,ปท,PTE,TH-13
กลาง,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,2556.6,อย,AYA,TH-14
กลาง,พิจิตร,Phichit,4531,พจ,PCT,TH-66
กลาง,พิษณุโลก,Phitsanulok,10815.8,พล,PLK,TH-65
กลาง,เพชรบูรณ์,Phetchabun,12668.4,พช,PNB,TH-67
กลาง,ลพบุรี,Lop Buri,6199.8,ลบ,LRI,TH-16
กลาง,สมุทรปราการ,Samut Prakan,1004.1,สป,SPK,TH-11
กลาง,สมุทรสงคราม,Samut Songkhram,416.7,สส,SKM,TH-75
กลาง,สมุทรสาคร,Samut Sakhon,872.3,สค,SKN,TH-74
กลาง,สระบุรี,Saraburi,3576.5,สบ,SRI,TH-19
กลาง,สิงห์บุรี,Sing Buri,822.5,สห,SBR,TH-17
กลาง,สุโขทัย,Sukhothai,6596.1,สท,STI,TH-64
กลาง,สุพรรณบุรี,Suphan Buri,5358,สพ,SPB,TH-72
กลาง,อ่างทอง,Ang Thong,968.4,อท,ATG,TH-15
กลาง,อุทัยธานี,Uthai Thani,6730.3,อน,UTI,TH-61
