region,name_th,name_en,area_km2,abbr,abbr3,iso
ตะวันออกเฉียงเหนือ,กาฬสินธุ์,Kalasin,6946.7,กส,KSN,TH-46
ตะวันออกเฉียงเหนือ,ขอนแก่น,Khon Kaen,10886,ขก,KKN,TH-40
ตะวันออกเฉียงเหนือ,ชัยภูมิ,Chaiyaphum,12778.3,ชย,CPM,TH-36
ตะวันออกเฉียงเหนือ,นครพนม,Nakhon Phanom,5512.7,นพ,NPM,TH-48
ตะวันออกเฉียงเหนือ,นครราชสีมา,Nakhon Ratchasima,20494,นม,NMA,TH-30
ตะวันออกเฉียงเหนือ,บึงกาฬ,Bueng Kan,4305,บก,BKN,TH-38
ตะวันออกเฉียงเหนือ,บุรีรัมย์,Buri Ram,10322.9,บร,BRM,TH-31
ตะวันออกเฉียงเหนือ,มหาสารคาม,Maha Sarakham,5291.7,มค,MKM,TH-44
ตะวันออกเฉียงเหนือ,มุกดาหาร,Mukdahan,4339.8,มห,MDH,TH-49
ตะวันออกเฉียงเหนือ,ยโสธร,Yasothon,4161.7,ยส,YST,TH-35
ตะวันออกเฉียงเหนือ,ร้อยเอ็ด,Roi Et,8299.4,รอ,RET,TH-45
ตะวันออกเฉียงเหนือ,เลย,Loei,11424.6,ลย,LEI,TH-42
ตะวันออกเฉียงเหนือ,ศรีสะเกษ,Si Sa Ket,8840,ศก,SSK,TH-33
ตะวันออกเฉียงเหนือ,สกลนคร,Sakon Nakhon,9605.8,สน,SNK,TH-47
ตะวันออกเฉียงเหนือ,สุรินทร์,Surin,8124.1,สร,SRN,TH-32
ตะวันออกเฉียงเหนือ,หนองคาย,Nong Khai,3027,นค,NKI,TH-43
ตะวันออกเฉียงเหนือ,หนองบัวลำภู,Nong Bua Lam Phu,3859,นภ,NBP,TH-39
ตะวันออกเฉียงเหนือ,อุดรธานี,Udon Thani,11730.3,อด,UDN,TH-41
ตะวันออกเฉียงเหนือ,อุบลราชธานี,Ubon Ratchathani,15744.8,อบ,UBN,TH-34
ตะวันออกเฉียงเหนือ,อำนาจเจริญ,Amnat Charoen,3161.2,อจ,ACR,TH-37
