region,name_th,name_en,area_km2,abbr,abbr3,iso
ใต้,กระบี่,Krabi,4708.5,กบ,KBI,TH-81
ใต้,ชุมพร,Chumphon,6010.8,ชพ,CPN,TH-86
ใต้,ตรัง,Trang,4917.5,ตง,TRG,TH-92
ใต้,นครศรีธรรมราช,Nakhon Si Thammarat,9942.5,นศ,NRT,TH-80
ใต้,นราธิวาส,Narathiwat,4475.4,นธ,NWT,TH-96
ใต้,ปัตตานี,Pattani,1940.4,ปน,PTN,TH-94
ใต้,พังงา,Phangnga,4170.9,พง,PNA,TH-82
ใต้,พัทลุง,Phatthalung,3424.5,พท,PLG,TH-93
ใต้,ภูเก็ต,Phuket,543,ภก,PKT,TH-83
ใต้,ยะลา,Yala,4521.1,ยล,YLA,TH-95
ใต้,ระนอง,Ranong,3298,รน,RNG,TH-85
ใต้,สตูล,Satun,2479,สต,STN,TH-91
ใต้,สงขลา,Songkhla,7393.9,สข,SKA,TH-90
ใต้,สุราษฎร์ธานี,Surat Thani,12891.5,สฎ,SNI,TH-84
