model,year,price,transmission,mileage,fuelType,mpg,engineSize
Fiesta,2019,16995,Manual,1958.0,Petrol,55.4,1.0
Focus,2018,12395,Manual,31643.0,Diesel,74.3,1.5
Fiesta,2019,17490,Manual,5079.0,Petrol,40.3,1.5
Fiesta,2017,7999,Manual,26213.0,Diesel,78.5,1.5
Fiesta,2017,9750,Manual,14083.0,Petrol,65.7,1.0
Focus,2018,11499,Manual,21023.0,Petrol,60.1,1.0
Puma,2019,21000,Manual,300.0,Petrol,50.4,1.0
Fiesta,2018,10500,Manual,11645.0,Petrol,65.7,
Focus,2018,16495,Manual,24344.0,Petrol,60.1,1.0
EcoSport,2017,10298,Manual,,Petrol,53.3,1.0
Fiesta,2017,9670,Manual,17066.0,Petrol,65.7,1.0
Focus,2016,12698,Manual,7906.0,Diesel,74.3,1.5
Fiesta,2020,17990,Manual,494.0,Petrol,53.3,1.0
Fiesta,2019,17498,Manual,3265.0,Petrol,58.9,1.0
Focus,2017,17977,Manual,8237.0,Petrol,41.5,2.0
Ka+,2017,7995,Manual,9000.0,Petrol,57.7,1.2
EcoSport,2018,12899,Manual,14877.0,Diesel,68.9,1.5
S-MAX,2008,4890,Automatic,106000.0,Petrol,29.1,2.3
Fiesta,2018,11899,Manual,7657.0,Petrol,58.9,1.0
Focus,2019,15400,Manual,9845.0,Petrol,60.1,1.0
EcoSport,2019,14699,Manual,5229.0,Petrol,53.3,1.0
Fiesta,2016,10000,Manual,28251.0,Petrol,65.7,
Focus,2017,10800,Manual,22988.0,Petrol,60.1,1.0
Fiesta,2014,5599,Manual,75943.0,Petrol,54.3,1.2
Fiesta,2013,5295,Manual,54138.0,Petrol,54.3,1.2
Focus,2018,11680,Manual,12500.0,Petrol,60.1,1.0
Focus,2013,5611,Manual,62262.0,Petrol,56.5,1.0
C-MAX,2013,5699,Manual,51338.0,Diesel,61.4,1.6
Focus,2018,11999,Manual,20186.0,Petrol,57.7,1.0
EcoSport,2018,13900,Manual,18457.0,Petrol,54.3,1.0
Fiesta,2014,7090,Manual,28877.0,Petrol,65.7,1.0
Focus,2019,17500,Manual,20.0,Petrol,58.9,1.0
Kuga,2016,13490,Automatic,25100.0,Petrol,38.2,1.5
Fiesta,2017,9990,Manual,38081.0,Petrol,65.7,1.0
Kuga,2016,12750,Manual,29963.0,Diesel,54.3,2.0
Kuga,2017,16999,Manual,16644.0,Diesel,60.1,2.0
Fiesta,2014,8750,Manual,35315.0,Petrol,65.7,1.0
Fiesta,2017,10000,Manual,38386.0,Diesel,78.5,1.5
Ka+,2018,8800,Manual,6045.0,Petrol,47.9,1.2
EcoSport,2016,8830,Manual,22582.0,Petrol,52.3,1.0
Fiesta,2016,9000,Manual,32148.0,Petrol,65.7,1.0
Fiesta,2018,9200,Manual,21000.0,Petrol,65.7,1.0
Mondeo,2016,9990,Manual,60639.0,Diesel,64.2,2.0
Kuga,2016,12161,Manual,37099.0,Diesel,60.1,2.0
C-MAX,2016,9265,Manual,33092.0,Diesel,68.9,1.5
Fiesta,2019,18949,Automatic,,Petrol,48.7,1.0
Fiesta,2019,13000,Manual,1334.0,Petrol,48.7,1.1
Kuga,2019,21980,Manual,12999.0,Diesel,47.9,2.0
Fiesta,2016,6390,Manual,42458.0,Petrol,54.3,1.2
Focus,2014,6324,Manual,57170.0,Petrol,56.5,
Fiesta,2019,13300,Manual,,Petrol,58.9,1.0
Focus,2019,16530,Manual,5000.0,Petrol,60.1,1.0
Kuga,2017,17000,Manual,4825.0,Petrol,45.6,
Edge,2017,17495,Manual,48000.0,Diesel,48.7,2.0
Fiesta,2018,15495,Manual,8500.0,Petrol,58.9,1.0
Ka+,2019,10700,Manual,1798.0,Petrol,43.5,1.2
Fiesta,2018,10850,Manual,10527.0,Petrol,65.7,1.0
C-MAX,2017,12499,Manual,10323.0,Petrol,55.4,1.0
Focus,2019,16598,Automatic,11256.0,Petrol,51.4,1.0
Kuga,2015,14499,Manual,36523.0,Diesel,54.3,2.0
Fiesta,2019,13900,Manual,10762.0,Petrol,58.9,1.0
Fiesta,2016,7980,Manual,42045.0,Petrol,62.8,1.0
Mondeo,2016,9311,Manual,56500.0,Petrol,48.7,1.5
Fiesta,2018,8991,Manual,15560.0,Petrol,64.2,1.1
EcoSport,2019,14899,Manual,1866.0,Petrol,52.3,1.0
Focus,2017,12498,Semi-Auto,12244.0,Petrol,51.4,1.0
EcoSport,2018,14691,Manual,19041.0,Petrol,51.4,1.0
Fiesta,2017,10000,Manual,26559.0,Petrol,65.7,1.0
Focus,2015,6250,Manual,82446.0,Diesel,74.3,1.5
Tourneo Connect,2016,11995,Manual,,Diesel,64.2,1.5
Kuga,2018,15995,Manual,14748.0,Diesel,64.2,1.5
Fiesta,2018,10499,Manual,9377.0,Petrol,64.2,1.1
Focus,2016,9321,Manual,31136.0,Petrol,60.1,1.0
Focus,2019,15340,Manual,6175.0,Petrol,60.1,1.0
C-MAX,2018,14250,Manual,8147.0,Petrol,48.7,1.0
Fiesta,2017,9691,Manual,11377.0,Petrol,64.2,
Focus,2018,15995,Manual,900.0,Petrol,58.9,1.0
Fiesta,2019,16399,Semi-Auto,8227.0,Petrol,48.7,1.0
Kuga,2016,15975,Automatic,24300.0,Petrol,38.2,1.5
EcoSport,2016,8698,Manual,28670.0,Diesel,64.2,1.5
Ka+,2017,7995,Manual,14000.0,Petrol,57.7,1.2
Focus,2017,11748,Manual,22638.0,Petrol,51.4,1.5
Focus,2019,16299,Manual,13592.0,Petrol,60.1,1.0
Fiesta,2016,6998,Manual,34716.0,Petrol,54.3,1.2
EcoSport,2017,10290,Manual,21445.0,Petrol,52.3,1.0
Focus,2018,9950,Manual,19223.0,Petrol,61.4,1.0
Focus,2019,18995,Manual,1800.0,Petrol,60.1,1.0
Kuga,2017,12398,Manual,20800.0,Diesel,64.2,1.5
Fiesta,2017,10999,Manual,34844.0,Petrol,47.9,1.6
Kuga,2016,13000,Manual,46729.0,Diesel,60.1,2.0
Kuga,2018,22000,Semi-Auto,9555.0,Diesel,54.3,2.0
Focus,2019,15400,Manual,5068.0,Petrol,60.1,1.0
Focus,2013,4495,Manual,,Petrol,56.5,1.0
Kuga,2016,11450,Manual,51538.0,Diesel,54.3,2.0
C-MAX,2015,10000,Manual,45888.0,Diesel,68.9,1.5
Mondeo,2011,5495,Manual,104000.0,Diesel,47.1,2.2
C-MAX,2016,8330,Manual,37172.0,Diesel,68.9,1.5
Kuga,2017,14900,Manual,18743.0,Diesel,60.1,2.0
Ka+,2018,7995,Manual,3569.0,Petrol,57.7,1.2
Fiesta,2020,17000,Manual,10.0,Petrol,58.9,1.0
Focus,2006,1495,Manual,105000.0,Diesel,58.9,1.6
Fiesta,2019,14495,Manual,1100.0,Petrol,58.9,
Fiesta,2016,9710,Manual,21314.0,Petrol,62.8,1.0
Focus,2015,8000,Manual,49327.0,Petrol,60.1,1.0
Fiesta,2017,9540,Manual,11706.0,Petrol,64.2,1.1
EcoSport,2017,9991,Semi-Auto,31155.0,Petrol,44.8,1.5
Fiesta,2018,10295,Manual,26595.0,Petrol,65.7,1.0
Fiesta,2018,9590,Manual,9864.0,Petrol,65.7,1.0
Kuga,2016,15975,Automatic,24300.0,Petrol,38.2,1.5
Fiesta,2019,12995,Manual,8.0,Petrol,55.4,1.1
Focus,2017,18047,Manual,15309.0,Petrol,41.5,2.0
Focus,2017,10498,Manual,27704.0,Diesel,74.3,1.5
Focus,2019,20100,Manual,4905.0,Diesel,74.3,1.5
Fiesta,2015,7700,Manual,31299.0,Petrol,,1.2
Fiesta,2018,12499,Manual,2650.0,Petrol,61.4,1.0
Fiesta,2019,11999,Manual,4800.0,Petrol,58.9,1.0
Grand C-MAX,2017,11498,Manual,15371.0,Petrol,54.3,1.0
Focus,2018,18990,Manual,14155.0,Petrol,41.5,2.0
Fiesta,2018,9298,Manual,20369.0,Petrol,65.7,1.0
Focus,2017,9900,Manual,35500.0,Diesel,74.3,1.5
