model,year,price,transmission,mileage,fuelType,mpg,engineSize
Avensis,2016,9995,Manual,61300.0,Diesel,67.3,1.6
,2015,6000,Manual,30125.0,Petrol,69.0,1.0
Yaris,2017,8998,Manual,21390.0,Petrol,58.9,1.5
Aygo,2017,8300,Manual,9526.0,Petrol,68.9,1.0
Aygo,2011,4295,Manual,39841.0,Petrol,61.4,1.0
Yaris,2014,6498,Manual,34866.0,Petrol,51.4,1.3
C-HR,2017,17995,Automatic,38674.0,Hybrid,74.3,1.8
,2018,11800,Manual,8736.0,Petrol,56.5,1.5
Yaris,2016,6990,Manual,51926.0,Petrol,58.0,1.3
Yaris,2019,11595,Manual,8559.0,Petrol,47.9,1.5
,2017,7976,Manual,8493.0,Petrol,68.9,1.0
Yaris,2014,10490,Automatic,34528.0,Hybrid,80.7,1.5
Aygo,2017,8390,Manual,10575.0,Petrol,68.9,1.0
,2014,7290,Manual,51996.0,Diesel,74.3,1.4
C-HR,2018,17995,Automatic,14800.0,Petrol,47.9,1.2
Aygo,2017,7698,Manual,8243.0,Petrol,68.9,1.0
Prius,2017,17542,Automatic,40205.0,Hybrid,94.1,1.8
C-HR,2017,16752,Manual,17785.0,Petrol,47.1,1.2
Aygo,2018,7700,Manual,13683.0,Petrol,69.0,1.0
Aygo,2007,2295,Manual,69492.0,Petrol,61.4,1.0
Aygo,2017,8650,Semi-Auto,5893.0,Petrol,67.0,1.0
Corolla,2019,21491,Automatic,3993.0,Hybrid,85.6,1.8
,2016,5940,Manual,42000.0,Petrol,69.0,1.0
RAV4,2016,15990,Manual,20553.0,Diesel,60.1,2.0
,2015,9995,Automatic,50033.0,Hybrid,86.0,1.5
Corolla,2019,19998,Manual,4290.0,Petrol,39.2,1.2
Verso,2012,5995,Manual,65700.0,Diesel,53.3,2.0
Yaris,2013,6295,Manual,13331.0,Petrol,52.3,1.3
Verso,2016,11222,Manual,20762.0,Petrol,41.5,1.6
Aygo,2016,6950,Manual,43298.0,Petrol,69.0,1.0
Auris,2017,16495,Automatic,,Hybrid,65.6,1.8
Auris,2016,11000,Automatic,64166.0,Hybrid,78.5,1.8
Aygo,2017,5995,Manual,25629.0,Petrol,69.0,1.0
Auris,2014,11000,Automatic,54669.0,Hybrid,76.4,1.8
Yaris,2017,10595,Automatic,,Hybrid,86.0,1.5
Aygo,2017,7995,Manual,9779.0,Petrol,68.9,1.0
Prius,2015,21790,Automatic,28254.0,Other,64.2,1.8
Aygo,2017,8995,Manual,15500.0,Petrol,68.9,1.0
Auris,2013,10495,Automatic,34671.0,Hybrid,74.3,1.8
Land Cruiser,2020,54550,Automatic,4000.0,Diesel,30.1,
Land Cruiser,2019,49995,Automatic,6836.0,Diesel,30.1,2.8
Aygo,2019,11000,Automatic,3012.0,Other,55.4,
Yaris,2018,12295,Manual,7740.0,Petrol,56.5,1.5
Aygo,2018,10241,Semi-Auto,5113.0,Petrol,67.3,1.0
Avensis,2018,13695,Manual,37191.0,Diesel,67.3,1.6
Yaris,2017,9495,Manual,12087.0,Petrol,65.7,1.0
Yaris,2016,12290,Automatic,16823.0,Hybrid,78.0,1.5
Auris,2017,9392,Manual,45599.0,Diesel,67.3,1.6
Auris,2018,16970,Automatic,35394.0,Hybrid,65.6,1.8
Prius,2013,17353,Automatic,27000.0,Hybrid,68.9,1.8
C-HR,2018,20995,Automatic,9956.0,Petrol,34.5,
Yaris,2016,12191,Automatic,30338.0,Hybrid,86.0,1.5
Aygo,2017,7995,Manual,19760.0,Petrol,68.9,1.0
Avensis,2016,8499,Manual,,Diesel,62.8,2.0
RAV4,2016,21995,Automatic,16000.0,Hybrid,55.4,2.5
Corolla,2019,19990,Manual,3422.0,Petrol,39.2,1.2
Aygo,2019,10450,Manual,4859.0,Petrol,56.5,1.0
Prius,2017,19998,Automatic,13476.0,Hybrid,235.0,1.8
Yaris,2017,10000,Manual,31215.0,Petrol,55.0,1.3
,2017,9985,Manual,20103.0,Petrol,55.0,1.3
Aygo,2017,7595,Manual,40390.0,Petrol,68.9,1.0
Aygo,2015,7200,Manual,24619.0,Petrol,69.0,1.0
Land Cruiser,2016,33000,Semi-Auto,22583.0,Diesel,38.2,2.8
RAV4,2017,22480,Automatic,25170.0,Hybrid,55.4,2.5
Auris,2017,11590,Manual,15000.0,Petrol,52.3,1.2
Yaris,2016,11795,Automatic,20000.0,Hybrid,78.0,1.5
Yaris,2015,10795,Automatic,29055.0,Hybrid,78.0,1.5
Aygo,2017,8599,Manual,11190.0,Petrol,68.9,1.0
RAV4,2014,10995,Manual,59627.0,Diesel,57.6,2.0
Aygo,2017,8000,Manual,32000.0,Petrol,68.9,1.0
Yaris,2018,11000,Manual,8109.0,Petrol,47.1,1.5
GT86,2016,15995,Semi-Auto,19460.0,Petrol,39.8,2.0
RAV4,2013,10440,Manual,49450.0,Diesel,57.6,2.0
Yaris,2018,13200,Automatic,30000.0,Hybrid,67.3,1.5
Yaris,2002,1999,Automatic,71788.0,Petrol,42.2,1.3
Yaris,2018,11995,Automatic,30184.0,Hybrid,76.3,1.5
Aygo,2017,6599,Manual,25496.0,Petrol,69.0,1.0
Aygo,2019,11395,Semi-Auto,5214.0,Petrol,56.5,1.0
RAV4,2016,17999,Automatic,,Hybrid,57.6,2.5
Yaris,2018,11995,Automatic,6912.0,Hybrid,76.3,
Aygo,2016,6990,Manual,33460.0,Petrol,69.0,1.0
RAV4,2019,29980,Automatic,6691.0,Hybrid,49.6,2.5
C-HR,2018,16998,Automatic,30239.0,Hybrid,74.3,1.8
Yaris,2019,11995,Manual,6335.0,Petrol,47.9,1.5
Auris,2018,14500,Automatic,17279.0,Hybrid,68.8,1.8
Auris,2014,11288,Automatic,31956.0,Hybrid,72.4,1.8
,2016,19390,Automatic,21184.0,Hybrid,94.1,1.8
Prius,2016,16498,Automatic,55826.0,Hybrid,85.6,1.8
Yaris,2019,12495,Manual,5931.0,Petrol,47.9,1.5
Aygo,2016,7291,Semi-Auto,31096.0,Petrol,67.0,1.0
RAV4,2016,20800,Automatic,38101.0,Hybrid,55.4,2.5
RAV4,2013,12950,Manual,52574.0,Diesel,49.6,2.2
C-HR,2018,15790,Manual,12600.0,Petrol,41.5,1.2
Aygo,2015,6698,Manual,17517.0,Petrol,69.0,1.0
Verso,2015,8461,Manual,73305.0,Diesel,62.8,1.6
Land Cruiser,2004,5975,Automatic,160000.0,Diesel,31.4,3.0
Yaris,2017,11990,Automatic,27788.0,Hybrid,76.3,1.5
Corolla,2005,3495,Manual,,Petrol,40.4,1.6
Yaris,2018,9599,Manual,21417.0,Petrol,56.5,1.5
