model,year,price,transmission,mileage,fuelType,mpg,engineSize
Polo,2017.0,10299,Manual,18820,Petrol,60.1,1.0
Tiguan,,21390,Manual,27950,Diesel,50.4,2.0
Golf SV,2019.0,21490,Automatic,5500,Diesel,52.3,2.0
Polo,2015.0,7990,Manual,46793,Petrol,58.9,1.0
Up,2019.0,10495,Manual,3321,Petrol,54.3,1.0
Golf,2016.0,18390,Manual,34363,Petrol,39.8,2.0
Passat,2018.0,16495,Manual,22000,Diesel,68.9,2.0
Polo,2016.0,9290,Manual,47028,Petrol,60.1,1.2
Polo,2019.0,19290,Semi-Auto,25,Petrol,39.8,2.0
Polo,2014.0,7120,Manual,32788,,60.1,1.0
T-Roc,2019.0,20490,Manual,73,Diesel,50.4,2.0
Golf,2017.0,14790,Manual,12618,Petrol,54.3,1.4
Touran,2018.0,15998,Semi-Auto,18888,Diesel,65.7,1.6
Polo,2019.0,14990,Manual,4500,Petrol,52.3,1.0
Tiguan,2016.0,17995,Semi-Auto,21000,Diesel,49.6,2.0
Golf,2014.0,11995,Automatic,67000,,62.8,2.0
Golf,2016.0,7769,Manual,72473,Petrol,57.6,1.2
Polo,2017.0,9495,,16694,Petrol,60.1,1.0
Golf,2019.0,34023,Automatic,6776,Petrol,36.2,2.0
Golf,2016.0,12962,Manual,11590,Petrol,53.3,1.4
Golf,2015.0,10900,Manual,61000,Diesel,68.9,2.0
Tiguan,2019.0,29990,Automatic,1830,Diesel,40.4,2.0
Polo,2015.0,6991,Manual,33000,Petrol,60.1,1.0
Golf,2016.0,11995,,31704,Petrol,53.3,1.4
T-Roc,2019.0,21691,Manual,7054,Diesel,46.3,2.0
Polo,2016.0,9991,Manual,19000,Petrol,60.1,1.0
T-Cross,2019.0,21795,Manual,1000,Petrol,47.9,1.0
Golf,2007.0,4295,,42315,Petrol,40.4,1.6
Golf,2019.0,19982,Manual,3422,Petrol,45.6,1.5
Passat,2017.0,14999,Manual,21421,Diesel,68.9,2.0
Polo,2018.0,13995,Manual,2166,Petrol,64.2,1.0
Polo,2019.0,16490,Manual,4173,Petrol,49.6,1.0
Polo,2016.0,10750,Manual,15664,Petrol,65.7,1.0
Polo,2016.0,8799,Manual,27532,Petrol,60.1,1.2
Golf,2017.0,12995,Manual,7738,Diesel,74.3,1.6
Touran,2017.0,22499,Semi-Auto,18862,Petrol,51.4,1.4
Golf,2014.0,10490,Manual,72000,Diesel,67.3,2.0
Golf,2019.0,20436,Semi-Auto,3398,Diesel,52.3,2.0
Passat,2019.0,18199,,6751,Petrol,41.5,1.5
Arteon,2019.0,27498,Manual,10,Diesel,52.3,2.0
Golf,2016.0,24995,Manual,22650,Petrol,40.4,2.0
Golf,2018.0,15979,Automatic,9956,Petrol,60.1,1.0
Polo,2017.0,10190,Manual,35738,Petrol,60.1,1.2
Scirocco,2017.0,13800,Manual,11204,Petrol,52.3,1.4
Polo,2019.0,14999,Manual,4436,Petrol,52.3,1.0
Passat,2018.0,17998,Manual,6502,Petrol,45.6,1.5
Up,2019.0,9650,Manual,1711,Petrol,54.3,1.0
Shuttle,2018.0,25500,Semi-Auto,33455,,47.1,2.0
Passat,2018.0,12850,Manual,33017,,68.9,1.6
Caravelle,,41990,Semi-Auto,8198,Diesel,33.6,2.0
Up,2017.0,8790,Manual,18983,Petrol,60.1,1.0
Golf,2016.0,11442,Manual,40540,Diesel,74.3,1.6
Golf,2019.0,19989,Manual,2450,Petrol,50.4,1.5
Polo,2016.0,10500,Manual,16473,Petrol,60.1,1.2
Golf,2017.0,11700,Manual,34630,Diesel,67.3,1.6
Eos,2008.0,3695,Automatic,127000,Petrol,34.5,2.0
Golf,2016.0,13391,Manual,25183,Petrol,53.3,1.4
Golf,2016.0,17900,Semi-Auto,26868,Petrol,44.1,2.0
Up,2016.0,6990,Manual,10876,Petrol,64.2,1.0
Tiguan,2017.0,19695,Semi-Auto,16090,Diesel,49.6,2.0
Golf,2019.0,14950,Manual,10600,Diesel,57.7,1.6
Polo,2017.0,10500,Manual,24755,Petrol,60.1,1.2
Passat,2016.0,14798,Semi-Auto,33485,Diesel,61.4,2.0
Golf,2016.0,11995,Manual,38000,Petrol,53.3,1.4
Up,2016.0,6290,,19012,,62.8,1.0
Golf SV,2019.0,18490,Manual,2632,Petrol,49.6,1.5
Polo,2014.0,6975,Manual,70000,Petrol,60.1,1.2
Up,2019.0,9999,Manual,10,Petrol,54.3,1.0
CC,,11450,Semi-Auto,36040,Petrol,50.4,1.4
Caddy Maxi,2015.0,9949,Automatic,93113,Diesel,52.3,1.6
Sharan,2020.0,34990,Semi-Auto,2000,Diesel,40.9,2.0
Golf,2019.0,25900,Semi-Auto,100,Petrol,43.5,1.5
Golf,2020.0,18950,Manual,2560,Petrol,47.1,1.5
Golf,2020.0,25999,Semi-Auto,10,Hybrid,44.8,1.5
Golf,2019.0,19650,Manual,1822,Petrol,50.4,1.5
Golf,2017.0,13500,Automatic,19933,Petrol,55.4,1.4
Passat,2020.0,30990,Semi-Auto,4765,Diesel,48.7,2.0
Polo,2016.0,12600,Manual,30016,Petrol,47.0,1.8
Polo,2018.0,13840,Semi-Auto,21484,Petrol,46.3,1.0
Golf,2017.0,16800,Manual,34811,Diesel,60.1,2.0
Golf,2017.0,17300,Semi-Auto,43237,Diesel,57.7,2.0
Passat,2019.0,25998,Automatic,7424,Diesel,48.7,2.0
Golf,2017.0,20000,Automatic,34299,Petrol,40.4,2.0
Polo,2020.0,21490,Semi-Auto,5000,Petrol,39.8,2.0
Touareg,,23998,Semi-Auto,29123,Diesel,42.8,3.0
Tiguan,2018.0,19701,Semi-Auto,11301,Diesel,49.6,2.0
Passat,2017.0,10000,Semi-Auto,82405,Diesel,70.6,1.6
Up,2020.0,10790,Manual,1000,Petrol,54.3,1.0
Up,2017.0,7689,Manual,8950,Petrol,64.2,1.0
Golf,2016.0,11995,Manual,37507,Diesel,68.9,2.0
Golf SV,2018.0,15280,Manual,7140,Petrol,55.4,1.5
Scirocco,2016.0,13500,Manual,47083,Diesel,53.3,2.0
Passat,2015.0,5793,Manual,130000,Diesel,68.9,1.6
Tiguan,2019.0,29950,Automatic,8980,Diesel,45.6,2.0
Passat,2015.0,11995,Automatic,53000,Diesel,70.6,1.6
Arteon,2019.0,27999,Automatic,3852,Diesel,50.4,2.0
Tiguan,2017.0,19495,Manual,53587,Diesel,58.9,2.0
Passat,2020.0,20998,Semi-Auto,36,Diesel,49.6,1.6
Polo,2017.0,9995,Manual,32000,Petrol,60.1,1.2
Tiguan,2018.0,21750,Semi-Auto,14446,Diesel,40.4,2.0
Golf SV,2018.0,15490,Manual,20920,Petrol,55.4,1.5
Passat,2019.0,14298,Manual,17819,Petrol,47.1,1.5
Tiguan,2019.0,31000,Manual,10441,,42.8,2.0
Polo,2016.0,10000,Manual,19200,Petrol,60.1,1.2
T-Cross,2020.0,22999,Manual,5000,Other,47.9,1.0
Golf,2019.0,29000,Semi-Auto,100,Petrol,32.8,2.0
Beetle,2016.0,13700,Manual,22857,Diesel,61.4,2.0
Polo,2018.0,11998,Manual,3582,,48.7,1.0
Polo,2013.0,7495,Manual,44093,Petrol,51.4,1.2
Sharan,2019.0,26995,Manual,207,Diesel,43.5,2.0
Passat,2015.0,6295,Manual,123200,Diesel,68.9,1.6
Scirocco,2018.0,18000,Semi-Auto,7448,Petrol,44.1,2.0
Golf,2019.0,19999,Semi-Auto,4567,Diesel,52.3,2.0
Golf,2016.0,12891,Manual,22508,Petrol,53.3,1.4
Up,2020.0,10750,Manual,100,Petrol,54.3,1.0
Polo,2017.0,9495,Manual,33019,Petrol,60.1,1.2
Golf,2016.0,16995,Manual,20932,Diesel,67.3,2.0
Golf,2019.0,17356,Manual,3512,Petrol,47.1,1.5
Tiguan,2018.0,21790,Automatic,50971,Diesel,49.6,2.0
T-Roc,2019.0,20250,Manual,43,Diesel,50.4,1.6
Polo,2011.0,4495,Manual,67350,Diesel,72.4,1.2
Up,2014.0,6430,Manual,23250,Petrol,60.1,1.0
Tiguan,2019.0,30990,Semi-Auto,9798,Diesel,39.2,2.0
Golf,2017.0,12495,Manual,41146,Petrol,54.3,1.4
Amarok,2014.0,15497,Automatic,40330,Diesel,35.3,2.0
Touran,2016.0,14960,Manual,41210,Diesel,64.2,2.0
Tiguan,2019.0,24990,Manual,3000,Diesel,47.9,2.0
Passat,2015.0,11998,Manual,46845,Diesel,68.9,2.0
Tiguan,2019.0,25990,,5000,Diesel,46.3,2.0
Golf,2018.0,17795,,18103,Diesel,60.1,2.0
Golf,2016.0,12950,Manual,14350,Petrol,53.3,1.4
Sharan,2019.0,22741,Manual,15434,,43.5,2.0
Polo,2016.0,12999,Manual,38254,Petrol,47.0,1.8
Passat,2016.0,12899,Manual,48664,Diesel,70.6,1.6
Golf,2019.0,27499,Semi-Auto,6177,Petrol,32.8,2.0
Passat,2019.0,21498,Semi-Auto,10,Petrol,42.8,1.5
Tiguan,2016.0,19980,Semi-Auto,27145,Diesel,49.6,2.0
Polo,2016.0,9230,Manual,23912,Petrol,60.1,1.2
Polo,2017.0,11499,Manual,7129,Petrol,60.1,1.2
Golf,2014.0,12250,Automatic,41658,,60.1,1.4
Golf,2019.0,24689,Manual,4487,Petrol,37.2,2.0
Golf,2015.0,12995,Manual,66000,Diesel,67.3,2.0
Golf,2016.0,16995,Automatic,45579,Diesel,62.8,2.0
Tiguan,2016.0,15940,Manual,34214,Diesel,50.4,2.0
Touran,2019.0,20000,Manual,9296,Diesel,51.4,1.6
T-Cross,2020.0,22465,Manual,100,Diesel,52.3,1.6
Golf,2019.0,22990,Manual,1345,Diesel,62.8,2.0
Passat,2020.0,31790,Manual,1000,Diesel,57.7,2.0
Polo,2018.0,12290,Manual,15181,Petrol,60.1,1.0
Tiguan,2019.0,27995,Manual,4631,Diesel,47.9,2.0
Polo,2017.0,10600,Manual,20069,Petrol,58.9,1.0
Golf,2015.0,11495,Manual,14534,Petrol,53.3,1.4
Tiguan,2014.0,12481,,23379,Diesel,47.7,2.0
Polo,2016.0,8561,,31970,Petrol,68.9,1.0
Tiguan,2019.0,33450,Automatic,8000,Diesel,39.2,2.0
Caravelle,2019.0,54995,Automatic,10,Diesel,33.6,2.0
T-Roc,2019.0,20225,Manual,10375,Diesel,50.4,1.6
Tiguan,2016.0,14995,Manual,24458,Diesel,53.3,2.0
Golf,2020.0,22495,Semi-Auto,2000,Hybrid,44.8,1.5
Golf SV,2015.0,9290,Manual,29816,Diesel,72.4,1.6
Golf,2014.0,9249,Manual,57884,Diesel,68.9,2.0
Polo,2016.0,9495,Manual,26000,Petrol,60.1,1.2
Sharan,2019.0,24987,Manual,2464,Petrol,35.3,1.4
Tiguan,2018.0,26900,Semi-Auto,12000,Diesel,49.6,2.0
Up,2020.0,10950,Manual,15,Petrol,54.3,1.0
Polo,2014.0,6780,Manual,34036,Petrol,47.9,1.4
Polo,2014.0,7990,Semi-Auto,30620,Petrol,47.9,1.4
Tiguan,2014.0,9990,Manual,53088,Diesel,53.3,2.0
Up,2020.0,10490,Manual,5000,Petrol,54.3,1.0
T-Roc,2019.0,18998,Manual,11833,Petrol,44.1,1.0
T-Roc,2018.0,17495,Manual,23000,Petrol,55.4,1.0
Golf,2016.0,12400,Manual,30312,,74.3,1.6
Sharan,2017.0,19991,Semi-Auto,15352,Diesel,54.3,2.0
Golf,2015.0,11998,Semi-Auto,18506,Petrol,53.3,1.4
Up,2019.0,9885,Manual,10,Petrol,54.3,1.0
T-Cross,2019.0,17990,Manual,4834,,47.9,1.0
Tiguan,2018.0,16950,Manual,30220,Diesel,58.9,2.0
Amarok,2019.0,28991,Automatic,18000,Diesel,28.3,3.0
Golf,2017.0,21463,Manual,8942,Petrol,43.5,2.0
Polo,2017.0,12995,Semi-Auto,12000,Petrol,60.1,1.2
Passat,2017.0,16795,Semi-Auto,36700,Diesel,61.4,2.0
Golf,2020.0,21498,Semi-Auto,10,Diesel,53.3,2.0
Polo,2017.0,12990,Semi-Auto,15930,Petrol,60.1,1.2
Polo,,8790,Automatic,15033,Petrol,47.9,1.4
Golf SV,2020.0,22980,Semi-Auto,4,Petrol,42.8,1.5
Tiguan,2018.0,23790,Manual,25800,Diesel,58.9,2.0
Polo,2015.0,10000,Manual,36438,Petrol,61.4,1.4
