I want to put a ding in the universe.|Steve Jobs
Innovation distinguishes between a leader and a follower.|Steve Jobs
Design is not just what it looks like and feels like. Design is how it works.|Steve Jobs
We hire people who want to make the best things in the world.|Steve Jobs
Sometimes life is going to hit you in the head with a brick. Don't lose faith.|Steve Jobs
Being the richest man in the cemetery doesn't matter to me. Going to bed at night saying we've done something wonderful, that's what matters to me.|Steve Jobs
Be a yardstick of quality. Some people aren't used to an environment where excellence is expected.|Steve Jobs
Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations.|Steve Jobs
You can't just ask customers what they want and then try to give that to them. By the time you get it built, they'll want something new.|Steve Jobs
It's really hard to design products by focus groups. A lot of times, people don't know what they want until you show it to them.|Steve Jobs
Imagination is more important than knowledge.|Albert Einstein
Insanity: doing the same thing over and over again and expecting different results.|Albert Einstein
No problem can be solved from the same level of consciousness that created it.|Albert Einstein
Try not to become a man of success, but rather try to become a man of value.|Albert Einstein
I have no special talents. I am only passionately curious.|Albert Einstein
The important thing is not to stop questioning. Curiosity has its own reason for existing.|Albert Einstein
Anyone who has never made a mistake has never tried anything new.|Albert Einstein
Look deep into nature, and then you will understand everything better.|Albert Einstein
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.|Albert Einstein
If you can't explain it simply, you don't understand it well enough.|Albert Einstein
What is right is not always popular, and what is popular is not always right.|Albert Einstein
Everybody is a genius. But if you judge a fish by its ability to climb a tree, it will live its whole life believing that it is stupid.|Albert Einstein
Great spirits have always encountered violent opposition from mediocre minds.|Albert Einstein
Not everything that can be counted counts, and not everything that counts can be counted.|Albert Einstein
It’s not that I’m so smart, it’s just that I stay with problems longer.|Albert Einstein
I am thankful for all of those who said NO to me. Its because of them I’m doing it myself.|Albert Einstein
Never give up on what you really want to do. The person with big dreams is more powerful than the one with all the facts.|Albert Einstein
Look deep into nature, and then you will understand everything better.|Albert Einstein
All religions, arts and sciences are branches of the same tree.|Albert Einstein
Any intelligent fool can make things bigger and more complex… It takes a touch of genius – and a lot of courage to move in the opposite direction.|Albert Einstein
Life is like riding a bicycle. To keep your balance you must keep moving.|Albert Einstein
