title_year,length,budget_revenue
Toy Story (1995),1 hour(s) 21 minute(s),30.0/362.0
A Bug's Life (1998),1 hour(s) 36 minute(s),45.0/363.4
Toy Story 2 (1999),1 hour(s) 32 minute(s),90.0/485.0
"Monsters, Inc. (2001)",1 hour(s) 30 minute(s),115.0/528.8
Finding Nemo (2003),1 hour(s) 44 minute(s),94.0/895.6
The Incredibles (2004),1 hour(s) 55 minute(s),92.0/631.4
Cars (2006),1 hour(s) 56 minute(s),70.0/462.0
Ratatouille (2007),1 hour(s) 51 minute(s),150.0/623.7
WALL-E (2008),1 hour(s) 37 minute(s),180.0/521.3
Up (2009),1 hour(s) 36 minute(s),175.0/731.3
Toy Story 3 (2010),1 hour(s) 43 minute(s),"200.0/1,063.2"
Cars 2 (2011),1 hour(s) 53 minute(s),200.0/559.9
Brave (2012),1 hour(s) 40 minute(s),185.0/539.0
Monsters University (2013),1 hour(s) 47 minute(s),200.0/743.6
Inside Out (2015),1 hour(s) 42 minute(s),175.0/677.1
