Country,Housing,Benefits,Visas/Residence,Fitting in/ Entertain,Development,Climate,Healthcare,Governance,Opportunity,Cost of Living,Average
Panama,80,96,100,89,80,80,88,82,84,82,86.1
Costa Rica,74,88,91,92,82,80,97,80,79,88,85.1
Mexico,86,79,88,94,82,86,90,70,72,91,83.8
Portugal,87,86,64,87,88,88,96,79,74,84,83.3
Ecuador,84,95,90,84,75,87,81,72,71,92,83.1
Colombia,77,78,88,82,82,87,93,69,69,92,81.7
France,65,75,68,74,96,82,84,90,71,78,78.3
Malta,66,76,86,90,81,63,72,72,76,75,75.7
Spain,69,62,60,85,86,72,96,76,66,81,75.3
Uruguay,66,74,76,76,88,58,76,84,69,79,74.6
Thailand,71,56,82,81,81,58,80,74,56,90,72.9
Ireland,60,60,62,86,95,58,84,80,71,71,72.7
Peru,66,56,82,67,56,87,78,72,70,91,72.5
Cambodia,70,62,70,82,66,57,74,78,70,94,72.3
Malaysia,75,64,40,56,92,62,90,70,78,93,72.0
Bali,58,72,56,79,64,62,70,64,70,95,69.0
Sri Lanka,66,57,64,74,70,78,60,70,57,93,68.9
Vietnam,72,60,40,75,70,60,84,70,56,96,68.3
Italy,68,60,54,79,67,58,84,65,58,80,67.3
Belize,58,57,86,78,56,58,65,58,67,88,67.1
Roatan,56,62,66,76,56,58,68,66,72,89,66.9
DR,64,76,62,80,56,57,56,62,67,88,66.8
Croatia,59,56,56,81,74,57,75,56,58,79,65.1
Bolivia,86,57,67,65,57,67,57,30,57,94,63.7
Nicaragua,68,56,72,76,56,61,72,20,56,92,62.9
