order_id	dt	revenue
1	2018-01-01	8780
2	2018-01-01	9940
3	2018-01-02	9790
4	2018-01-02	3720
5	2018-01-02	5860
6	2018-01-02	6410
7	2018-01-03	8380
8	2018-01-03	4710
9	2018-01-03	3680
10	2018-01-03	4560
11	2018-01-04	5230
12	2018-01-04	8610
13	2018-01-05	2520
14	2018-01-06	7140
15	2018-01-06	9200
16	2018-01-07	3520
17	2018-01-07	9860
18	2018-01-07	3970
19	2018-01-08	3450
20	2018-01-08	7580
21	2018-01-08	5450
22	2018-01-08	8690
23	2018-01-08	5790
24	2018-01-09	4040
25	2018-01-09	7340
26	2018-01-10	9410
27	2018-01-10	7370
28	2018-01-10	9800
29	2018-01-10	6500
30	2018-01-10	3670
31	2018-01-10	6770
32	2018-01-11	4020
33	2018-01-11	6390
34	2018-01-11	4580
35	2018-01-12	8000
36	2018-01-12	6300
37	2018-01-12	4970
38	2018-01-12	7220
39	2018-01-13	5220
40	2018-01-14	7120
41	2018-01-14	8920
42	2018-01-14	2720
43	2018-01-15	8340
44	2018-01-16	8830
45	2018-01-17	4810
46	2018-01-18	9560
47	2018-01-18	7210
48	2018-01-19	3570
49	2018-01-19	5440
50	2018-01-19	6060
51	2018-01-21	9780
52	2018-01-21	4530
53	2018-01-21	5070
54	2018-01-22	9910
55	2018-01-22	8870
56	2018-01-22	7770
57	2018-01-22	4550
58	2018-01-23	3170
59	2018-01-23	8260
60	2018-01-24	4990
61	2018-01-24	6260
62	2018-01-24	9050
63	2018-01-25	7030
64	2018-01-25	4180
65	2018-01-25	6720
66	2018-01-25	9860
67	2018-01-25	5220
68	2018-01-25	7060
69	2018-01-26	4620
70	2018-01-27	7720
71	2018-01-27	4320
72	2018-01-27	8600
73	2018-01-27	2820
74	2018-01-28	5380
75	2018-01-29	5280
76	2018-01-29	4280
77	2018-01-29	8910
78	2018-01-30	8920
79	2018-01-30	3280
80	2018-01-30	6550
81	2018-01-31	3320
82	2018-01-31	3910
83	2018-01-31	9900
84	2018-02-01	8950
85	2018-02-01	2930
86	2018-02-01	9060
87	2018-02-02	7690
88	2018-02-02	9560
89	2018-02-02	5890
90	2018-02-03	7410
91	2018-02-03	2720
92	2018-02-04	7910
93	2018-02-04	5390
94	2018-02-04	2570
95	2018-02-05	8530
96	2018-02-05	7840
97	2018-02-05	3320
98	2018-02-05	4620
99	2018-02-05	9320
100	2018-02-06	4380
101	2018-02-07	4480
102	2018-02-07	5460
103	2018-02-07	7520
104	2018-02-07	5640
105	2018-02-08	3300
106	2018-02-08	7840
107	2018-02-08	7930
108	2018-02-08	2570
109	2018-02-09	5790
110	2018-02-09	3530
111	2018-02-09	7510
112	2018-02-09	2590
113	2018-02-10	6730
114	2018-02-10	5470
115	2018-02-10	9450
116	2018-02-10	7210
117	2018-02-11	7480
118	2018-02-11	5720
119	2018-02-12	5510
120	2018-02-12	9700
121	2018-02-13	2770
122	2018-02-13	9470
123	2018-02-13	2600
124	2018-02-13	5340
125	2018-02-14	9860
126	2018-02-14	4510
127	2018-02-14	7620
128	2018-02-14	3900
129	2018-02-15	8950
130	2018-02-16	8020
131	2018-02-16	3360
132	2018-02-17	6280
133	2018-02-17	9920
134	2018-02-18	9270
135	2018-02-19	4860
136	2018-02-19	4480
137	2018-02-19	3240
138	2018-02-19	3110
139	2018-02-20	4080
140	2018-02-20	4960
141	2018-02-20	6540
142	2018-02-21	7570
143	2018-02-21	2870
144	2018-02-21	4050
145	2018-02-22	6110
146	2018-02-22	7880
147	2018-02-22	6470
148	2018-02-22	3260
149	2018-02-23	8490
150	2018-02-23	9500
151	2018-02-24	7450
152	2018-02-25	5630
153	2018-02-26	3930
154	2018-02-26	2640
155	2018-02-26	9400
156	2018-02-27	6620
157	2018-02-27	4930
158	2018-02-27	4430
159	2018-02-27	3920
160	2018-02-28	8250
161	2018-02-28	9550
162	2018-02-28	4350
163	2018-02-28	6870
164	2018-03-01	8410
165	2018-03-02	9710
166	2018-03-02	6090
167	2018-03-03	4270
168	2018-03-03	7480
169	2018-03-03	3410
170	2018-03-04	8320
171	2018-03-04	8860
172	2018-03-04	5040
173	2018-03-05	3860
174	2018-03-05	3970
175	2018-03-06	4880
176	2018-03-06	4410
177	2018-03-06	8360
178	2018-03-06	3840
179	2018-03-07	7420
180	2018-03-07	5700
181	2018-03-07	5480
182	2018-03-07	8210
183	2018-03-07	9040
184	2018-03-08	7990
185	2018-03-08	8160
186	2018-03-09	5220
187	2018-03-09	8110
188	2018-03-09	8510
189	2018-03-10	9140
190	2018-03-10	2800
191	2018-03-10	8980
192	2018-03-12	7750
193	2018-03-12	8540
194	2018-03-13	5910
195	2018-03-13	2830
196	2018-03-13	5910
197	2018-03-13	6270
198	2018-03-13	2950
199	2018-03-13	8940
200	2018-03-14	5280
201	2018-03-14	9540
202	2018-03-14	2730
203	2018-03-14	4570
204	2018-03-14	4460
205	2018-03-14	9540
206	2018-03-14	3780
207	2018-03-15	4130
208	2018-03-15	3030
209	2018-03-15	5520
210	2018-03-16	5920
211	2018-03-16	9470
212	2018-03-17	7570
213	2018-03-17	9770
214	2018-03-17	4200
215	2018-03-17	3740
216	2018-03-18	7550
217	2018-03-18	9920
