Year	Category	Product	Sales	Rating
2016	Clothing	Socks	2,300	0.28
2016	Components	Brakes	3,400	0.36
2016	Bikes	Mountain Bikes	6,300	0.4
2016	Accessories	Helmets	17,000	0.9
2016	Accessories	Lights	21,600	0.9
2016	Accessories	Locks	29,800	0.9
2016	Components	Bottom Brackets	1,000	0.23
2016	Accessories	Pumps	16,400	0.8
2016	Accessories	Bike Racks	22,100	0.9
2016	Clothing	Bib-Shorts	2,900	0.36
2016	Bikes	Road Bikes	8,300	0.46
2016	Components	Wheels	16,700	0.75
2016	Bikes	Touring Bikes	1,800	0.15
2016	Clothing	Shorts	12,000	0.66
2016	Components	Chains	16,400	0.7
2016	Clothing	Caps	400	0.2
2016	Components	Handlebars	3,300	0.38
2016	Clothing	Gloves	15,600	0.65
2016	Components	Pedals	1,500	0.17
2016	Components	Saddles	2,800	0.38
2016	Bikes	Cargo Bike	6,700	0.46
2016	Accessories	Tires and Tubes	13,800	0.85
2016	Clothing	Jerseys	3,800	0.48
2016	Clothing	Vests	1,300	0.25
2016	Clothing	Tights	22,100	0.99
