Year	Category	Product	Sales	Rating
2015	Demo	Item	"3,700"	0.22
2015	Clothing	Socks	"3,700"	0.22
2015	Clothing	Shorts	"13,300"	0.56
2015	Components	Handlebars	"2,300"	0.35
2015	Clothing	Jerseys	"6,700"	0.05
2015	Bikes	Road Bikes	"3,500"	0.5
2015	Bikes	Mountain Bikes	"3,100"	0.35
2015	Accessories	Pumps	700	0.1
2015	Clothing	Tights	"3,300"	0.3
2015	Accessories	Helmets	"8,300"	0.99
2015	Accessories	Tires and Tubes	"8,700"	0.9
2015	Accessories	Locks	"10,000"	0.85
2015	Components	Bottom Brackets	500	0.35
2015	Clothing	Vests	"3,300"	0.36
2015	Components	Pedals	800	0.36
2015	Clothing	Gloves	"13,300"	0.5
2015	Accessories	Bike Racks	300	0.05
2015	Components	Saddles	"2,100"	0.49
2015	Components	Brakes	"2,300"	0.34
2015	Components	Wheels	"10,000"	0.66
2015	Bikes	Touring Bikes	500	0.22
2015	Bikes	Cargo Bike	"3,200"	0.48
2015	Clothing	Bib-Shorts	700	0.28
2015	Accessories	Lights	"1,300"	0.9
2015	Clothing	Caps	500	0.5
2015	Components	Chains	"8,700"	0.92
