Category,Menu,Calories,Total Fat,Sat Fat,Trans Fat,Cholesterol,Sodium,Total Carb,Fiber,Sugars,Protein
Burgers,Single ShackBurger®,500,30,12,1.0,105,1250,26,0,6,29
Burgers,Double ShackBurger®,760,48,20,2.0,185,2280,27,0,6,51
Burgers,Single Hamburger,370,18,8,1.0,75,850,24,0,5,25
Burgers,Double Hamburger,560,30,12,1.5,140,1540,24,0,5,44
Burgers,Single Cheeseburger,440,24,11,1.0,95,1200,25,0,5,29
Burgers,Double Cheeseburger,700,42,20,2.0,175,2220,25,0,5,51
Burgers,‘Shroom Burger,510,27,10,0.5,45,670,49,0,7,18
Burgers,Shack Stack®,770,45,18,1.5,125,1700,50,0,7,40
Burgers,Single SmokeShack™,570,35,13,1.0,120,2010,28,0,7,36
Burgers,Double SmokeShack™,830,53,22,2.0,200,3030,28,0,7,58
Burgers,Roadside Double Burger,770,46,20,2.0,175,2300,32,0,7,53
Burgers,Lockhart Link Burger,780,56,21,1.0,155,2050,27,0,5,39
Burgers,"Lockhart Link Burger, Double",1040,74,29,2.0,235,3080,28,0,5,61
Burgers,"Lockhart Link Burger, Triple",1300,92,38,2.5,320,4110,29,0,6,83
Burgers,Link Burger,680,46,18,1.0,140,2010,27,0,6,39
Burgers,"Link Burger, Double",930,64,26,2.0,220,3040,28,0,6,61
Burgers,"Link Burger, Triple",1190,82,34,2.5,305,4070,28,0,7,83
Burgers,"Green Chile CheddarShack, Single",470,26,12,1.0,100,1380,28,1,6,30
Burgers,"Green Chile CheddarShack, Double",750,46,22,1.5,185,2190,28,1,6,53
Burgers,Mound City Double,780,48,20,1.5,185,2380,26,0,6,56
Burgers,"Brat Burger, Single",860,61,20,1.0,140,1850,34,0,6,44
Burgers,"Brat Burger, Double",1050,73,25,2.0,205,2530,34,0,6,62
Burgers,Montlake Single Cut,670,45,19,1.0,150,1560,36,0,5,29
Burgers,Montlake Double Cut,980,68,31,2.0,240,2470,36,0,5,54
Burgers,Golden State Single,560,37,13,1.0,100,1310,26,0,5,31
Burgers,Golden State Double,840,56,22,2.0,190,2130,27,0,5,54
Burgers,"Slap Shot Burger, Single",490,27,10,1.0,80,1150,33,0,6,28
Burgers,"Slap Shot Burger, Double",680,40,15,1.5,145,1840,33,0,6,47
Burgers,"Bacon Cheeseburger, single",500,29,13,1.0,110,1480,25,0,5,35
Burgers,"Bacon Cheeseburger, double",760,47,21,2.0,190,2510,25,0,6,58
Burgers,Veggie Shack,530,27,7,0.0,20,1250,56,6,10,16
Burgers,"Veggie Shack, vegan, lettuce wrap",310,18,1.5,0.0,0,900,31,4,6,4
Burgers,"Veggie Shack, vegan",390,22,1.5,0.0,0,1130,50,6,8,6
Burgers,"Hot Ones Burger, Single",590,38,14,1.0,120,1400,25,0,5,37
Burgers,"Hot Ones Burger, Double",860,56,23,1.5,205,2210,25,0,5,61
Burgers,Grilled Cheese,320,18,10,0.5,45,850,25,0,5,14
Burgers,Martin's Potato Roll,180,6,3,0.0,10,170,24,0,5,7
Burgers,Gluten Free Bun,160,3.0,0,0.0,0,350,31,2,5,3
Burgers,Lettuce Wrap,5,0,0,0.0,0,15,1,1,0,1
Burgers,Burger Patty,190,12,4.5,0.5,65,690,0,0,0,19
Burgers,American Cheese,70,6,3.5,0.0,15,340,1,0,0,4
Burgers,ShackSauce,60,6,1,0.0,10,60,0,0,0,0
Burgers,Lettuce,1,0,0,0.0,0,0,0,0,0,0
Burgers,Tomato,5,0,0,0.0,0,0,1,0,0,0
Burgers,Pickle,1,0,0,0.0,0,140,0,0,0,0
Burgers,Onion,5,0,0,0.0,0,0,1,0,0,0
Burgers,Bacon (2 Slices),70,4.5,1.5,0.0,15,290,0,0,0,6
Burgers,Cherry Peppers,10,0,0,0.0,0,470,2,0,2,0
Burgers,Crispy Shallots,110,8,1.5,0.0,0,95,7,0,0,1
Chicken,Chicken Shack™,550,31,7,0.0,110,1170,34,0,6,33
Chicken,Chicken Bites (6 piece),300,19,3.5,0.0,50,780,15,0,1,17
Chicken,Chicken Bites (10 piece),510,32,6,0.0,85,1300,26,0,2,29
Chicken,Hot Ones Chicken,680,41,13,0.0,145,1360,34,0,6,44
Chicken,Herb Mayonnaise,90,10,0.5,0.0,10,140,0,0,0,0
Chicken,BBQ Sauce,70,0,0,0.0,0,380,16,0,14,1
Chicken,Honey Mustard,180,19,2.5,0.0,15,230,4,0,4,1
Breakfast,Bacon Breakfast Sandwich,400,23,10,0.0,230,890,25,0,5,23
Breakfast,Bacon Breakfast Sandwich (Double Egg),490,30,12,0.0,410,990,26,0,6,29
Breakfast,Sausage Breakfast Sandwich,340,19,9,0.0,215,610,25,0,5,17
