recency_days,visit_frequency,avg_transaction_value,basket_size,total_spending,prefers_organic,weekend_shopper
55,3,1049.5604445305426,17,3148.681333591628,0,0
77,48,755.3206839484935,22,36255.392829527686,0,1
51,17,1668.502799002657,24,28364.54758304517,0,0
4,36,1015.93584554307,3,36573.69043955052,0,0
82,10,363.1080397091258,10,3631.0803970912575,0,0
16,47,996.5335102056848,17,46837.0749796672,1,1
20,35,314.975904646518,18,11024.15666262813,1,0
21,38,1191.016705728819,16,45258.63481769512,0,0
49,31,1187.2821182427945,25,36805.74566552663,0,0
65,31,333.8507667286002,3,10349.373768586607,0,1
12,52,850.69088449822,25,44235.92599390744,0,1
64,24,1055.170469695503,23,25324.091272692072,0,0
17,18,1247.6727185751645,4,22458.10893435296,0,1
54,14,971.8255609104648,20,13605.557852746508,1,1
25,47,515.6663978152844,14,24236.32069731837,1,0
37,30,484.6120658375279,1,14538.361975125836,0,0
20,37,1009.0149127870428,18,37333.55177312058,1,1
90,19,465.6224018377349,19,8846.825634916964,0,1
59,36,1110.0806731889577,24,39962.90423480247,1,0
27,49,1283.3540522074354,24,62884.34855816433,0,0
31,43,822.9119047233196,10,35385.21190310274,1,1
74,18,1682.8065236369498,1,30290.517425465096,1,1
80,9,409.22523164867,17,3683.02708483803,1,0
90,2,1201.4412720615935,20,2402.8825441231875,1,0
64,12,710.0805123226345,29,8520.966147871613,0,1
40,33,1031.7444125675106,25,34047.56561472785,0,1
86,44,698.5397976377099,13,30735.751096059237,0,0
64,4,376.0920260464497,5,1504.3681041857988,1,1
12,23,1043.7325034433163,18,24005.84757919628,1,0
63,12,1325.4064658271295,21,15904.877589925554,1,1
3,36,1209.4499339582355,11,43540.19762249648,0,1
77,20,1810.1018966037675,14,36202.03793207535,0,1
19,34,531.5068709745842,13,18071.233613135864,1,1
25,12,1222.455228399407,10,14669.46274079288,0,0
53,3,1339.231519859883,1,4017.694559579649,1,1
37,29,115.08513947768348,28,3337.469044852821,0,1
24,20,869.7547274460945,20,17395.09454892189,1,1
64,10,858.4645121814274,10,8584.645121814274,1,1
75,41,809.9605691278663,24,33208.38333424252,1,1
75,20,885.9465686069298,26,17718.931372138595,0,1
51,31,547.5797557724948,13,16974.972428947338,0,1
47,42,248.55924932876903,17,10439.4884718083,0,1
59,37,864.2141966122376,13,31975.925274652796,1,1
68,25,987.2232697298028,10,24680.581743245068,0,0
53,21,636.0310511241214,5,13356.65207360655,0,0
11,8,1315.3238161835693,4,10522.590529468554,1,1
88,1,700.5459054795698,18,1000.0,0,1
10,13,935.315169549384,14,12159.097204141994,0,1
47,12,741.2815670397819,28,8895.378804477383,0,1
79,20,455.7378138334726,12,9114.756276669452,1,1
85,36,158.7300559541345,13,5714.2820143488425,0,0
64,49,187.6149667311753,25,9193.133369827588,1,1
82,38,223.28093437316704,15,8484.675506180347,0,0
61,14,1049.0043639027544,12,14686.061094638562,0,0
80,2,664.635939567966,20,1329.271879135932,1,0
13,44,515.5352154466764,14,22683.54947965376,0,0
82,35,1209.9616100335454,8,42348.65635117409,0,1
57,29,1198.572178340875,27,34758.59317188538,0,0
2,36,848.6071371840001,19,30549.856938624,0,0
28,19,803.3169834556621,16,15263.02268565758,0,0
87,7,950.4766100691749,6,6653.336270484223,0,1
88,5,891.7086117682474,24,4458.543058841236,0,1
14,12,1054.0635113518968,5,12648.762136222762,1,0
85,6,396.1526467708917,4,2376.91588062535,0,0
48,2,881.601809326244,8,1763.203618652488,1,0
5,30,596.9095514318662,25,17907.286542955986,0,1
48,25,580.4812885938462,25,14512.032214846156,0,0
72,3,1098.849470248852,17,3296.548410746556,0,0
53,42,1095.392969816263,6,46006.50473228305,0,1
25,35,724.8393700045464,8,25369.377950159123,0,1
11,12,100.0,8,1200.0,0,0
36,7,1034.2290797627934,3,7239.603558339553,0,1
5,15,378.8013515290608,11,5682.020272935912,1,1
19,38,754.5023744619895,27,28671.0902295556,0,1
41,14,100.0,10,1400.0,0,1
72,19,781.1989860905219,18,14842.780735719916,1,1
41,37,467.5012422496037,16,17297.545963235334,0,0
27,44,1428.9068120129486,29,62871.89972856974,0,1
29,30,1016.928049615293,13,30507.84148845879,0,1
12,37,680.2701404506961,6,25169.995196675754,0,1
55,19,247.811316579052,11,4708.415015001988,1,1
77,38,1055.621581344233,21,40113.620091080855,0,1
55,21,826.2548942978161,7,17351.35278025414,1,0
77,8,1360.4635166879586,1,10883.70813350367,0,0
27,29,1084.2484217183453,23,31443.20422983201,0,0
30,42,1097.5379592934369,17,46096.59429032435,1,1
69,3,570.7312843344678,14,1712.193853003403,0,1
41,34,467.3427000064791,17,15889.651800220288,1,1
14,10,347.1071846984437,19,3471.071846984437,1,0
28,40,218.7434789044612,14,8749.739156178448,1,0
70,22,865.2650354139108,2,19035.83077910604,0,1
90,14,181.2286065761915,14,2537.2004920666814,1,1
