Position,"Track Name",Artist,Streams,URL
1,"เพื่อนเล่น ไม่เล่นเพื่อน (Just Being Friendly)","Tilly Birds",79928,https://open.spotify.com/track/19KNYtZF0xP7VCIItvGSJZ
2,Butter,BTS,74281,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
3,Sunkissed,Urworld,55040,https://open.spotify.com/track/52h8p62Jx8KzQynM6heq7n
4,"วัดปะหล่ะ? (Test Me)",4EVE,51097,https://open.spotify.com/track/0gEewSHZqPiNQa9DqeeUXj
5,"แปะหัวใจ (14th Feb)",Jaonaay,50750,https://open.spotify.com/track/6GDI4Y8fOsptYwSW2iIUbe
6,"รู้งี้เป็นแฟนกันตั้งนานแล้ว (Safe Zone) - From ""แปลรักฉันด้วยใจเธอ Part 2""",Billkin,47371,https://open.spotify.com/track/24mB1soS8zLHLG1GK9Hvjd
7,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",42311,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
8,"Leave The Door Open","Bruno Mars",40659,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,"Next Level",aespa,39229,https://open.spotify.com/track/2zrhoHlFKxFTRF5aMyxMoQ
10,"หยอก หยอก",LUSS,39104,https://open.spotify.com/track/6tkhy9Be0jO98dyeJtlX8s
11,"ห่มผ้า (Hold Me Tight) - (From แปลรักฉันด้วยใจเธอ Part 2)","PP Krit",38626,https://open.spotify.com/track/7ts5grOLtVt9qJDRYPhzsq
12,"สายตาหลอกกันไม่ได้ (Eyes don't lie)","Ink Waruntorn",38375,https://open.spotify.com/track/4CTgPJbgNQ031q8HzhTtq2
13,"Kiss Me More (feat. SZA)","Doja Cat",35880,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
14,"deja vu","Olivia Rodrigo",34025,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
15,ทน,SPRITE,33942,https://open.spotify.com/track/4tM3ygBuSy0QzB0ihYZQcf
16,ถ้าเธอรักฉันจริง,"Three Man Down",33021,https://open.spotify.com/track/3kVApGWaoR48GzDagnY55b
17,"จำเลยรัก - Defendant Of Love",F.HERO,31762,https://open.spotify.com/track/0AGhwXsWpVOwjHY5yf4dtD
18,Extraordinary,"Anatomy Rabbit",31339,https://open.spotify.com/track/19CoWVqDyUbiqxoyMf4HkJ
19,"Don't fight the feeling",EXO,30862,https://open.spotify.com/track/42fR3oINF3KfXCDtheoNiY
20,"Build a Bitch","Bella Poarch",30649,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
21,"good 4 u","Olivia Rodrigo",30477,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
22,ยิ่งใกล้ยิ่งเก็บ,"I HATE MONDAY",30457,https://open.spotify.com/track/1GcLstNhtKD1c60tPGxYcH
23,"สองใจ - เพลงประกอบละคร วันทอง","Da Endorphine",29077,https://open.spotify.com/track/5sXuqzLmT1z6Gnf3S2TzSz
24,กักตัว,"Violette Wautier",28086,https://open.spotify.com/track/2ozCc0MSm3ybXugQqfnKOn
25,"ดอกไม้ไฟ - Firework",Mirrr,27246,https://open.spotify.com/track/5SolgEp0EAXjruwQdszykB
26,"คิด(แต่ไม่)ถึง (Same Page?)","Tilly Birds",27116,https://open.spotify.com/track/0JStm1Ns9Ya2zQhbqMDYEU
27,มีปัญหาปรึกษาดาว,"SERIOUS BACON",27039,https://open.spotify.com/track/4YxaxRxi8lFZdAWS9nCmAn
28,"โคตรพิเศษ - (From “แปลรักฉันด้วยใจเธอ”)",Billkin,26352,https://open.spotify.com/track/6MVbuOWvXHbPHtVwScK6M1
29,Alcohol-Free,TWICE,25835,https://open.spotify.com/track/6HTwoo4dUOvePNqMsTarPA
30,"1001 (You're Lovely)","SERIOUS BACON",25593,https://open.spotify.com/track/7ip4DUtdpLH4TkHfKgFbpf
31,น้ำลาย,Txrbo,25469,https://open.spotify.com/track/6oBGKAEqVgvljmFMwMUAXX
32,"Lost Cause","Billie Eilish",24536,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
33,จีบ,Qler,24338,https://open.spotify.com/track/5bvgLLWn7IFu6mOa46XaoV
34,เดาไม่เก่ง,"Three Man Down",23847,https://open.spotify.com/track/0FQuyJ6MTsvGcXQur2EPgk
35,"Hot Sauce","NCT DREAM",23798,https://open.spotify.com/track/6B8MM3PVQtUbZLay7tP7er
36,"MONTERO (Call Me By Your Name)","Lil Nas X",23588,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
37,"At My Worst","Pink Sweat$",23519,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
38,คิดไม่ออก,TangBadVoice,23171,https://open.spotify.com/track/1I9oRSMpN2K0xYivVr0AhF
39,ไวน์ลดา,"The Toys",23136,https://open.spotify.com/track/1RVYucT3tc32YzRDsP30t3
40,"beside you",keshi,22819,https://open.spotify.com/track/1Fhb9iJPufNMZSwupsXiRe
41,"Friend Zone","Three Man Down",22381,https://open.spotify.com/track/70gE5odAgYvmx0qB1bWDHz
42,"On The Ground",ROSÉ,22333,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
43,Dynamite,BTS,22178,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
44,"Heartbreak Anniversary",Giveon,22075,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
45,ไม่อยากฟัง,"SERIOUS BACON",21744,https://open.spotify.com/track/5NHUdpYUEHL8fDLmR1qFd8
46,เผลอหรือตั้งใจ,"Ink Waruntorn",21448,https://open.spotify.com/track/0mt8i1U8mZsptqKxEc4ScO
47,ซับ,BOWKYLION,20525,https://open.spotify.com/track/0Qk8RUwooCGKghG9yClG3O
48,ช่วยไม่ได้,UrboyTJ,19521,https://open.spotify.com/track/4GGNl8jiANylTJj4hfzqP7
49,นิโคติน,Mirrr,19447,https://open.spotify.com/track/6R9YzJHkfYoN6PianPhTdB
50,Gone,ROSÉ,19195,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
51,ฝนตกไหม,"Three Man Down",18902,https://open.spotify.com/track/2pB3TJsSleiRiL0NP6rtCw
