spotid,spotname,geo-coordinates
1391604,Conference House Park,POINT(-74.2523431778 40.5017589436)
1391611,Almer G. Russell Pavilion,POINT(-74.2542636395 40.5022647413)
3612422,Conference House,POINT(-74.2490418254 40.5000644614)
3612431,Billop House,POINT(-74.2490418254 40.5000644614)
1391499,Biddle House,POINT(-74.2541456223 40.5054829933)
403372,Seabra's Armory,POINT(-74.2632088065 40.5039289517)
402567,The Barge,POINT(-74.2636701465 40.5040533579)
604310,Perth Amboy Harborside Marina,POINT(-74.2627529333 40.5057931)
592358,The Quilla Casa,POINT(-74.26920775 40.50140725)
604304,Perth Amboy Ferry,POINT(-74.2622304 40.5070395833)
1071573,Santamaria Eye Center,POINT(-74.2679910833 40.5069164667)
952920,Buddha Lounge,POINT(-74.23945146 40.50537222)
6937241,To-do stores,POINT(-74.26777 40.50888)
1391847,Taqueria Oaxaca,POINT(-74.2485237122 40.5110095424)
6520007,Finks,POINT(-74.268543717 40.50876975)
7124898,Colors Of Fun,POINT(-74.248326977 40.51132191)
1132547,Lighthouse Bay Overlook,POINT(-74.2705907333 40.4832579)
7566755,The Yard,POINT(-74.249079655 40.511936087)
489999,Santibana Travel & Insurance,POINT(-74.2670660818 40.5110068271)
1553115,Talkin' Heads Salon,POINT(-74.27113455 40.50906747)
1135048,Lighthouse Bay Clubhouse / Pool,POINT(-74.2696979833 40.4809825167)
6788464,JSGWIZ Studio,POINT(-74.27351268 40.483400791)
6706311,Amigo's Fried Chicken,POINT(-74.269244308 40.510857878)
1132699,Harbor Village,POINT(-74.2737147333 40.4834589667)
7422547,"Universal Training Institute, Inc",POINT(-74.26985499 40.510621276)
490972,Perth Amboy Post Office,POINT(-74.2709192167 40.51016965)
1132414,Harbor Village,POINT(-74.27394325 40.4833666)
58063,Perth Amboy Train Station,POINT(-74.2738437653 40.5093332719)
1167415,Sadie Pope Dowdell Library,POINT(-74.27357417 40.48159589)
1135163,South Amboy Middle High School,POINT(-74.27400887 40.48155707)
5153427,The Office,POINT(-74.239441609 40.51229377)
915039,Raritan Bay Waterfront Park,POINT(-74.2690374167 40.4774991667)
7162236,St. Vincent de Paul,POINT(-74.274947283 40.510683117)
3709322,U.s. Bargain Store,POINT(-74.279798 40.507257)
58054,South Amboy Train Station,POINT(-74.2796909809 40.4836823334)
1553114,Talkin' Heads Salon,POINT(-74.279131828 40.482835769)
1553116,Talkin' Heads Salon,POINT(-74.279138944 40.482731417)
1134629,Broadway Bagel,POINT(-74.2793641 40.4829675667)
1387625,Landmark Tavern,POINT(-74.28024221 40.483860273)
228251,Dunkin' Donuts,POINT(-74.280916 40.4845725333)
1490033,Delio's Pizza,POINT(-74.280561515 40.484076755)
3902195,Oriental House,POINT(-74.280825 40.484344)
1933349,Poochie Doo,POINT(-74.28121 40.484823)
7554334,Krauzers,POINT(-74.2800718546 40.4833799601)
1134681,Delta Gas / Kumar Gas & Go,POINT(-74.2786018833 40.4817680167)
1135134,Blue Moon Jazz Bar,POINT(-74.2795077667 40.4826601167)
