Product Name,Size,Milk,Whip,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbohydrates (g),Dietary Fiber (g),Sugar (g),Protein (g),Vitamin A (%DV),Vitamin C (%DV),Calcium (%DV),Iron (%DV),Caffeine (mg),Category
Brewed Coffee - Dark Roast,Short,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,130,Coffee
Brewed Coffee - Dark Roast,Tall,,,354 mL,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,193,Coffee
Brewed Coffee - Dark Roast,Grande,,,473 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,260,Coffee
Brewed Coffee - Dark Roast,Venti®,,,591 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,340,Coffee
Brewed Coffee Traveler - Dark Roast,1 - 236 mL serving,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,130,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Short,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,15,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Tall,,,354 mL,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,20,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Grande,,,473 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,Coffee
Brewed Coffee - Decaf Pike Place® Roast,Venti®,,,591 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30,Coffee
Brewed Coffee Traveler - Decaf Pike Place® Roast,1 - 236 mL serving,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,15,Coffee
Brewed Coffee - Medium Roast,Short,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,155,Coffee
Brewed Coffee - Medium Roast,Tall,,,354 mL,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,235,Coffee
Brewed Coffee - Medium Roast,Grande,,,473 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,310,Coffee
Brewed Coffee - Medium Roast,Venti®,,,591 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,410,Coffee
Brewed Coffee Traveler - Medium Roast,1 - 236 mL serving,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,155,Coffee
Brewed Coffee - True North Blend Blonde Roast,Short,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,180,Coffee
Brewed Coffee - True North Blend Blonde Roast,Tall,,,354 mL,4.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,270,Coffee
Brewed Coffee - True North Blend Blonde Roast,Grande,,,473 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,360,Coffee
Brewed Coffee - True North Blend Blonde Roast,Venti®,,,591 mL,5.0,0.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,475,Coffee
Brewed Coffee Traveler - True North Blend Blonde Roast,1 - 236 mL serving,,,236 mL,3.0,0.1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,180,Coffee
Caffè Misto,Short,Nonfat,,236 mL,35.0,0.1,0.1,0.0,0.0,45.0,5.0,0.0,5.0,4.0,0.06,0.0,0.1,0.0,75,Coffee
Caffè Misto,Short,0.02,,236 mL,50.0,2.0,1.0,0.1,10.0,50.0,5.0,0.0,5.0,4.0,0.06,0.0,0.1,0.0,75,Coffee
Caffè Misto,Short,Whole,,236 mL,70.0,3.5,2.0,0.1,10.0,50.0,5.0,0.0,5.0,3.0,0.04,0.0,0.1,0.0,75,Coffee
Caffè Misto,Short,Soy,,236 mL,40.0,1.5,0.2,0.0,0.0,40.0,3.0,0.0,2.0,3.0,0.04,0.0,0.1,0.06,75,Coffee
Caffè Misto,Short,Coconut,,236 mL,40.0,2.5,2.5,0.0,0.0,45.0,4.0,0.0,3.0,0.4,0.0,0.0,0.0,0.0,75,Coffee
Caffè Misto,Tall,Nonfat,,354 mL,60.0,0.2,0.1,0.0,5.0,70.0,8.0,0.0,8.0,6.0,0.1,0.0,0.2,0.0,115,Coffee
Caffè Misto,Tall,0.02,,354 mL,80.0,3.0,1.5,0.1,15.0,80.0,8.0,0.0,8.0,5.0,0.08,0.0,0.2,0.0,115,Coffee
Caffè Misto,Tall,Whole,,354 mL,100.0,5.0,3.0,0.2,15.0,70.0,8.0,0.0,8.0,5.0,0.08,0.0,0.15,0.0,115,Coffee
Caffè Misto,Tall,Soy,,354 mL,60.0,2.5,0.3,0.0,0.0,60.0,5.0,1.0,4.0,4.0,0.06,0.0,0.2,0.08,115,Coffee
Caffè Misto,Tall,Coconut,,354 mL,60.0,3.5,3.5,0.0,0.0,70.0,6.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,115,Coffee
Caffè Misto,Grande,Nonfat,,473 mL,70.0,0.2,0.1,0.0,5.0,90.0,10.0,0.0,10.0,7.0,0.15,0.0,0.25,0.0,150,Coffee
Caffè Misto,Grande,0.02,,473 mL,110.0,4.0,2.0,0.1,15.0,100.0,10.0,0.0,10.0,7.0,0.1,0.0,0.25,0.0,150,Coffee
Caffè Misto,Grande,Whole,,473 mL,130.0,7.0,4.0,0.2,20.0,95.0,10.0,0.0,10.0,7.0,0.1,0.0,0.2,0.0,150,Coffee
Caffè Misto,Grande,Soy,,473 mL,80.0,3.0,0.4,0.0,0.0,80.0,6.0,1.0,5.0,6.0,0.08,0.0,0.25,0.1,150,Coffee
Caffè Misto,Grande,Coconut,,473 mL,70.0,4.5,4.5,0.0,0.0,90.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,150,Coffee
Caffè Misto,Venti®,Nonfat,,591 mL,90.0,0.3,0.2,0.0,5.0,115.0,13.0,0.0,13.0,9.0,0.15,0.0,0.3,0.0,195,Coffee
Caffè Misto,Venti®,0.02,,591 mL,130.0,5.0,2.5,0.2,20.0,130.0,13.0,0.0,13.0,9.0,0.15,0.0,0.3,0.0,195,Coffee
Caffè Misto,Venti®,Whole,,591 mL,160.0,9.0,5.0,0.3,25.0,120.0,13.0,0.0,13.0,9.0,0.1,0.0,0.25,0.0,195,Coffee
Caffè Misto,Venti®,Soy,,591 mL,100.0,4.0,0.5,0.0,0.0,100.0,8.0,1.0,6.0,7.0,0.1,0.0,0.3,0.15,195,Coffee
Caffè Misto,Venti®,Coconut,,591 mL,80.0,5.0,4.5,0.0,0.0,90.0,7.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,195,Coffee
Clover® Brewed Coffee - Dark Roast,Short,,,236 mL,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190,Coffee
Clover® Brewed Coffee - Dark Roast,Tall,,,354 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,Coffee
Clover® Brewed Coffee - Dark Roast,Grande,,,473 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,380,Coffee
Clover® Brewed Coffee - Dark Roast,Venti®,,,591 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,470,Coffee
Clover® Brewed Coffee - Light Roast,Short,,,236 mL,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,Coffee
Clover® Brewed Coffee - Light Roast,Tall,,,354 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,Coffee
Clover® Brewed Coffee - Light Roast,Grande,,,473 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,340,Coffee
Clover® Brewed Coffee - Light Roast,Venti®,,,591 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,425,Coffee
Clover® Brewed Coffee - Medium Roast,Short,,,236 mL,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170,Coffee
Clover® Brewed Coffee - Medium Roast,Tall,,,354 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,Coffee
Clover® Brewed Coffee - Medium Roast,Grande,,,473 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,375,Coffee
Clover® Brewed Coffee - Medium Roast,Venti®,,,591 mL,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,445,Coffee
Iced Coffee,Tall,,,354 mL,60.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,120,Coffee
Iced Coffee,Grande,,,473 mL,80.0,0.1,0.0,0.0,0.0,10.0,20.0,0.0,20.0,0.3,0.0,0.0,0.02,0.0,165,Coffee
Iced Coffee,Venti®,,,709 mL,120.0,0.1,0.0,0.0,0.0,15.0,30.0,0.0,30.0,0.4,0.0,0.0,0.02,0.0,235,Coffee
Iced Coffee,Trenta,,,887 mL,160.0,0.1,0.0,0.0,0.0,15.0,40.0,0.0,39.0,1.0,0.0,0.0,0.02,0.0,280,Coffee
Iced Coffee with Milk,Tall,Nonfat,,354 mL,80.0,0.1,0.0,0.0,0.0,30.0,17.0,0.0,17.0,2.0,0.02,0.0,0.06,0.0,90,Coffee
Iced Coffee with Milk,Tall,0.02,,354 mL,80.0,1.0,0.5,0.0,5.0,30.0,17.0,0.0,17.0,2.0,0.02,0.0,0.06,0.0,90,Coffee
Iced Coffee with Milk,Tall,Whole,,354 mL,90.0,1.5,1.0,0.0,5.0,30.0,17.0,0.0,17.0,2.0,0.02,0.0,0.06,0.0,90,Coffee
Iced Coffee with Milk,Tall,Soy,,354 mL,80.0,1.0,0.1,0.0,0.0,25.0,16.0,0.0,16.0,2.0,0.02,0.0,0.06,0.02,90,Coffee
Iced Coffee with Milk,Tall,Coconut,,354 mL,80.0,1.0,1.0,0.0,0.0,25.0,17.0,0.0,16.0,0.3,0.0,0.0,0.0,0.0,110,Coffee
Iced Coffee with Milk,Grande,Nonfat,,473 mL,100.0,0.1,0.0,0.0,0.0,35.0,23.0,0.0,23.0,2.0,0.04,0.0,0.08,0.0,125,Coffee
Iced Coffee with Milk,Grande,0.02,,473 mL,110.0,1.5,1.0,0.1,5.0,40.0,23.0,0.0,23.0,2.0,0.04,0.0,0.08,0.0,125,Coffee
Iced Coffee with Milk,Grande,Whole,,473 mL,120.0,2.0,1.0,0.1,5.0,35.0,23.0,0.0,23.0,2.0,0.02,0.0,0.08,0.0,125,Coffee
Iced Coffee with Milk,Grande,Soy,,473 mL,110.0,1.0,0.1,0.0,0.0,35.0,22.0,0.0,21.0,2.0,0.02,0.0,0.08,0.04,125,Coffee
Iced Coffee with Milk,Grande,Coconut,,473 mL,100.0,1.5,1.5,0.0,0.0,35.0,22.0,0.0,22.0,0.4,0.0,0.0,0.0,0.0,150,Coffee
Iced Coffee with Milk,Venti®,Nonfat,,709 mL,160.0,0.1,0.1,0.0,0.0,60.0,35.0,0.0,35.0,4.0,0.06,0.0,0.15,0.0,170,Coffee
Iced Coffee with Milk,Venti®,0.02,,709 mL,170.0,2.0,1.5,0.1,10.0,65.0,35.0,0.0,35.0,4.0,0.06,0.0,0.15,0.0,170,Coffee
Iced Coffee with Milk,Venti®,Whole,,709 mL,190.0,3.5,2.0,0.1,10.0,60.0,35.0,0.0,35.0,4.0,0.04,0.0,0.1,0.0,170,Coffee
Iced Coffee with Milk,Venti®,Soy,,709 mL,160.0,1.5,0.2,0.0,0.0,55.0,33.0,0.0,32.0,3.0,0.04,0.0,0.15,0.06,170,Coffee
Iced Coffee with Milk,Venti®,Coconut,,709 mL,160.0,2.5,2.0,0.0,0.0,55.0,33.0,0.0,33.0,1.0,0.0,0.0,0.02,0.0,205,Coffee
Iced Coffee with Milk,Trenta,Nonfat,,887 mL,210.0,0.2,0.1,0.0,5.0,70.0,46.0,0.0,46.0,5.0,0.08,0.0,0.15,0.0,190,Coffee
Iced Coffee with Milk,Trenta,0.02,,887 mL,230.0,3.0,1.5,0.1,10.0,80.0,46.0,0.0,46.0,5.0,0.08,0.0,0.15,0.0,190,Coffee
Iced Coffee with Milk,Trenta,Whole,,887 mL,240.0,4.5,2.5,0.1,15.0,75.0,46.0,0.0,46.0,5.0,0.06,0.0,0.15,0.0,190,Coffee
Iced Coffee with Milk,Trenta,Soy,,887 mL,220.0,2.0,0.3,0.0,0.0,65.0,44.0,1.0,43.0,4.0,0.06,0.0,0.15,0.08,190,Coffee
Iced Coffee with Milk,Trenta,Coconut,,887 mL,210.0,3.0,3.0,0.0,0.0,70.0,44.0,0.0,44.0,1.0,0.0,0.0,0.02,0.0,190,Coffee
Cold Brewed Coffee,Tall,,,354 mL,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,150,Coffee
Cold Brewed Coffee,Grande,,,473 mL,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.2,0.0,0.0,0.02,0.0,200,Coffee
Cold Brewed Coffee,Venti®,,,709 mL,4.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.3,0.0,0.0,0.02,0.0,300,Coffee
Cold Brewed Coffee,Trenta,,,887 mL,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.3,0.0,0.0,0.02,0.0,330,Coffee
Vanilla Sweet Cream Cold Brew,Tall,,,354 mL,100.0,6.0,3.5,0.2,20.0,20.0,12.0,0.0,12.0,1.0,0.06,0.0,0.02,0.0,140,Coffee
