Menu,Category,Calories,Fat_g,Carb_g,Fiber_g,Protein_g,Sodium
Cool Lime Starbucks Refreshers™ Beverage,drink,45.0,0.0,11.0,0.0,,10.0
Ombré Pink Drink,drink,,,,,,
Pink Drink,drink,,,,,,
Strawberry Acai Starbucks Refreshers™ Beverage,drink,80.0,0.0,18.0,1.0,,10.0
Very Berry Hibiscus Starbucks Refreshers™ Beverage,drink,60.0,0.0,14.0,1.0,,10.0
Violet Drink,drink,,,,,,
Evolution Fresh™ Cold-Pressed Apple Berry Juice,drink,,,,,,
Evolution Fresh™ Defense Up,drink,,,,,,
Evolution Fresh™ Organic Ginger Limeade,drink,110.0,0.0,28.0,0.0,,5.0
Iced Coffee,drink,0.0,0.0,0.0,0.0,,0.0
Iced Coffee with Milk,drink,,,,,,
Iced Espresso Classics - Vanilla Latte,drink,130.0,2.5,21.0,0.0,,65.0
Iced Espresso Classics - Caffe Mocha,drink,140.0,2.5,23.0,0.0,,90.0
Iced Espresso Classics - Caramel Macchiato,drink,130.0,2.5,21.0,0.0,,65.0
Starbucks® Caramel Iced Coffee,drink,,,,,,
Starbucks® Iced Coffee + Milk,drink,,,,,,
Starbucks® Low Calorie Iced Coffee + Milk,drink,,,,,,
Starbucks® Vanilla Iced Coffee,drink,,,,,,
Shaken Sweet Tea,drink,80.0,0.0,19.0,0.0,,10.0
Tazo® Bottled Berry Blossom White,drink,60.0,0.0,15.0,0.0,,10.0
Tazo® Bottled Black Mango,drink,150.0,0.0,38.0,0.0,,15.0
Tazo® Bottled Black with Lemon,drink,140.0,0.0,35.0,0.0,,10.0
Tazo® Bottled Brambleberry,drink,140.0,0.0,35.0,0.0,,15.0
Tazo® Bottled Giant Peach,drink,150.0,0.0,37.0,0.0,,15.0
Tazo® Bottled Iced Passion,drink,70.0,0.0,17.0,0.0,,10.0
Tazo® Bottled Lemon Ginger,drink,120.0,0.0,31.0,0.0,,10.0
Tazo® Bottled Organic Black Lemonade,drink,140.0,0.0,35.0,0.0,,10.0
Tazo® Bottled Organic Iced Black Tea,drink,60.0,0.0,15.0,0.0,,10.0
Tazo® Bottled Organic Iced Green Tea,drink,120.0,0.0,31.0,0.0,,10.0
Tazo® Bottled Plum Pomegranate,drink,140.0,0.0,35.0,0.0,,10.0
Tazo® Bottled Tazoberry,drink,150.0,0.0,38.0,0.0,,15.0
Tazo® Bottled White Cranberry,drink,140.0,0.0,35.0,0.0,,10.0
Teavana® Shaken Iced Black Tea,drink,30.0,0.0,8.0,0.0,,5.0
Teavana® Shaken Iced Black Tea Lemonade,drink,70.0,0.0,17.0,0.0,,0.0
Teavana® Shaken Iced Green Tea,drink,30.0,0.0,8.0,0.0,,5.0
Teavana® Shaken Iced Green Tea Lemonade,drink,70.0,0.0,17.0,0.0,,5.0
Teavana® Shaken Iced Passion Tango™ Tea,drink,30.0,0.0,8.0,0.0,,5.0
Teavana® Shaken Iced Passion Tango™ Tea Lemonade,drink,90.0,0.0,24.0,0.0,,0.0
Teavana® Shaken Iced Peach Green Tea,drink,60.0,0.0,15.0,0.0,,0.0
Iced Espresso Classics - Vanilla Latte,drink,130.0,2.5,21.0,0.0,,65.0
Iced Espresso Classics - Caffe Mocha,drink,140.0,2.5,23.0,0.0,,90.0
Iced Espresso Classics - Caramel Macchiato,drink,130.0,2.5,21.0,0.0,,65.0
Iced Espresso Classics - Skinny Caramel Macchiato,drink,,,,,,
Iced Espresso Classics - Skinny Vanilla Latte,drink,,,,,,
