date,"first_prize"
01-Jun-23,"125272"
16-May-23,"132903"
02-May-23,"843019"
16-Apr-23,"984906"
01-Apr-23,"087907"
16-Mar-23,"025873"
01-Mar-23,"417652"
16-Feb-23,"590417"
01-Feb-23,"297411"
17-Jan-23,"812519"
30-Dec-22,"157196"
16-Dec-22,"845093"
01-Dec-22,"375805"
16-Nov-22,"121789"
01-Nov-22,"913106"
16-Oct-22,"613106"
01-Oct-22,"484669"
16-Sep-22,"943703"
01-Sep-22,"929332"
16-Aug-22,"331583"
01-Aug-22,"436594"
16-Jul-22,"620405"
01-Jul-22,"981417"
16-Jun-22,"361807"
01-Jun-22,"319196"
16-May-22,"155012"
02-May-22,"658642"
16-Apr-22,"395919"
01-Apr-22,"970618"
16-Mar-22,"737867"
01-Mar-22,"061905"
17-Feb-22,"098597"
01-Feb-22,"944308"
17-Jan-22,"880159"
30-Dec-21,"819068"
16-Dec-21,"639235"
01-Dec-21,"077258"
16-Nov-21,"032761"
01-Nov-21,"045037"
16-Oct-21,"386372"
01-Oct-21,"578171"
16-Sep-21,"070935"
01-Sep-21,"114475"
16-Aug-21,"046750"
01-Aug-21,"910261"
16-Jul-21,"556725"
01-Jul-21,"713517"
16-Jun-21,"691861"
01-Jun-21,"292972"
16-May-21,"684579"
02-May-21,"501272"
16-Apr-21,"100787"
01-Apr-21,"472270"
16-Mar-21,"890422"
01-Mar-21,"835538"
16-Feb-21,"424603"
01-Feb-21,"912307"
17-Jan-21,"384395"
30-Dec-20,"803628"
16-Dec-20,"201303"
01-Dec-20,"100994"
16-Nov-20,"972661"
01-Nov-20,"506404"
16-Oct-20,"286051"
01-Oct-20,"837893"
16-Sep-20,"244083"
01-Sep-20,"999997"
16-Aug-20,"945811"
01-Aug-20,"569391"
16-Jul-20,"873286"
01-Jul-20,"347258"
16-Jun-20,"516967"
01-Jun-20,"831567"
01-Apr-20,"051095"
16-Mar-20,"503446"
01-Mar-20,"875938"
16-Feb-20,"781403"
01-Feb-20,"589227"
17-Jan-20,"491774"
30-Dec-19,"510541"
16-Dec-19,"529924"
01-Dec-19,"453522"
16-Nov-19,"017223"
01-Nov-19,"967375"
16-Oct-19,"812564"
01-Oct-19,"691197"
16-Sep-19,"340388"
01-Sep-19,"798787"
16-Aug-19,"775476"
01-Aug-19,"387006"
15-Jul-19,"369765"
01-Jul-19,"943647"
16-Jun-19,"174055"
01-Jun-19,"516461"
16-May-19,"962526"
02-May-19,"061324"
16-Apr-19,"570331"
01-Apr-19,"109767"
16-Mar-19,"724628"
01-Mar-19,"345650"
16-Feb-19,"074824"
01-Feb-19,"967134"
17-Jan-19,"197079"
30-Dec-18,"735867"
16-Dec-18,"356564"
01-Dec-18,"021840"
16-Nov-18,"989903"
01-Nov-18,"149840"
16-Oct-18,"200515"
01-Oct-18,"452643"
16-Sep-18,"149760"
01-Sep-18,"734510"
16-Aug-18,"586117"
01-Aug-18,"386602"
16-Jul-18,"596324"
01-Jul-18,"963623"
16-Jun-18,"223131"
01-Jun-18,"988117"
16-May-18,"075629"
02-May-18,"248038"
16-Apr-18,"739229"
01-Apr-18,"412073"
16-Mar-18,"218559"
02-Mar-18,"759415"
16-Feb-18,"309915"
01-Feb-18,"026853"
17-Jan-18,"203823"
30-Dec-17,"911234"
16-Dec-17,"955596"
01-Dec-17,"451005"
16-Nov-17,"292391"
01-Nov-17,"533726"
16-Oct-17,"413494"
01-Oct-17,"880714"
16-Sep-17,"170143"
01-Sep-17,"143224"
16-Aug-17,"715431"
01-Aug-17,"756519"
16-Jul-17,"820327"
01-Jul-17,"112360"
16-Jun-17,"943142"
01-Jun-17,"053630"
16-May-17,"454891"
02-May-17,"008656"
16-Apr-17,"816729"
01-Apr-17,"392785"
16-Mar-17,"273863"
01-Mar-17,"978453"
16-Feb-17,"229116"
