Symbol	Thai	RTGS	Meaning
ก	ก ไก่	ko kai	chicken
ข	ข ไข่	kho khai	egg
ฃ	ฃ ขวด	kho khuat	bottle
ค	ค ควาย	kho khwai	buffalo
ฅ	ฅ คน	kho khon	person
ฆ	ฆ ระฆัง	kho ra-khang	bell
ง	ง งู	ngo ngu	snake
จ	จ จาน	cho chan	plate
ฉ	ฉ ฉิ่ง	cho ching	cymbals
ช	ช ช้าง	cho chang	elephant
ซ	ซ โซ่	so so	chain
ฌ	ฌ เฌอ	cho choe	tree
ญ	ญ หญิง	yo ying	woman
ฎ	ฎ ชฎา	do cha-da	headdress
ฏ	ฏ ปฏัก	to pa-tak	goad, javelin
ฐ	ฐ ฐาน	tho than	pedestal
ฑ	ฑ มณโฑ	tho montho	Montho, character from Ramayana
ฒ	ฒ ผู้เฒ่า	tho phu-thao	elder
ณ	ณ เณร	no nen	samanera
ด	ด เด็ก	do dek	child
ต	ต เต่า	to tao	turtle
ถ	ถ ถุง	tho thung	sack
ท	ท ทหาร	tho thahan	soldier
ธ	ธ ธง	tho thong	flag
น	น หนู	no nu	mouse
บ	บ ใบไม้	bo baimai	leaf
ป	ป ปลา	po pla	fish
ผ	ผ ผึ้ง	pho phueng	bee
ฝ	ฝ ฝา	fo fa	lid
พ	พ พาน	pho phan	phan
ฟ	ฟ ฟัน	fo fan	teeth
ภ	ภ สำเภา	pho sam-phao	ship
ม	ม ม้า	mo ma	horse
ย	ย ยักษ์	yo yak	giant, yaksha
ร	ร เรือ	ro ruea	boat
ล	ล ลิง	lo ling	monkey
ว	ว แหวน	wo waen	ring
ศ	ศ ศาลา	so sala	pavilion, sala
ษ	ษ ฤๅษี	so rue-si	hermit
ส	ส เสือ	so suea	tiger
ห	ห หีบ	ho hip	chest, box
ฬ	ฬ จุฬา	lo chu-la	kite
อ	อ อ่าง	o ang	basin
ฮ	ฮ นกฮูก	ho nok-huk	owl
