region,nationality,year,month,tourists
Africa,AfrOthers,2010,1,6553
Africa,AfrOthers,2010,2,5618
Africa,AfrOthers,2010,3,6689
Africa,AfrOthers,2010,4,5210
Africa,AfrOthers,2010,5,4537
Africa,AfrOthers,2010,6,4683
Africa,AfrOthers,2010,7,6323
Africa,AfrOthers,2010,8,5717
Africa,AfrOthers,2010,9,5951
Africa,AfrOthers,2010,10,6327
Africa,AfrOthers,2010,11,6356
Africa,AfrOthers,2010,12,6866
Africa,AfrOthers,2011,1,6547
Africa,AfrOthers,2011,2,5143
Africa,AfrOthers,2011,3,6374
Africa,AfrOthers,2011,4,5821
Africa,AfrOthers,2011,5,5513
Africa,AfrOthers,2011,6,5838
Africa,AfrOthers,2011,7,7005
Africa,AfrOthers,2011,8,5347
Africa,AfrOthers,2011,9,5936
Africa,AfrOthers,2011,10,5767
Africa,AfrOthers,2011,11,3994
Africa,AfrOthers,2011,12,6126
Africa,AfrOthers,2012,1,5586
Africa,AfrOthers,2012,2,9235
Africa,AfrOthers,2012,3,6504
Africa,AfrOthers,2012,4,5785
Africa,AfrOthers,2012,5,7493
Africa,AfrOthers,2012,6,6388
Africa,AfrOthers,2012,7,5652
Africa,AfrOthers,2012,8,6157
Africa,AfrOthers,2012,9,6353
Africa,AfrOthers,2012,10,5957
Africa,AfrOthers,2012,11,6158
Africa,AfrOthers,2012,12,7950
Africa,AfrOthers,2013,1,6611
Africa,AfrOthers,2013,2,5047
Africa,AfrOthers,2013,3,7122
Africa,AfrOthers,2013,4,6357
Africa,AfrOthers,2013,5,6646
Africa,AfrOthers,2013,6,7386
Africa,AfrOthers,2013,7,6232
Africa,AfrOthers,2013,8,9257
Africa,AfrOthers,2013,9,7495
Africa,AfrOthers,2013,10,7554
Africa,AfrOthers,2013,11,8492
Africa,AfrOthers,2013,12,9061
Africa,AfrOthers,2014,1,6591
Africa,AfrOthers,2014,2,5535
Africa,AfrOthers,2014,3,7270
Africa,AfrOthers,2014,4,7550
Africa,AfrOthers,2014,5,7180
Africa,AfrOthers,2014,6,6074
Africa,AfrOthers,2014,7,6155
Africa,AfrOthers,2014,8,11393
Africa,AfrOthers,2014,9,7975
Africa,AfrOthers,2014,10,7985
Africa,AfrOthers,2014,11,8525
Africa,AfrOthers,2014,12,9301
Africa,AfrOthers,2015,1,6290
Africa,AfrOthers,2015,2,5490
Africa,AfrOthers,2015,3,7369
Africa,AfrOthers,2015,4,6798
Africa,AfrOthers,2015,5,7039
Africa,AfrOthers,2015,6,5539
Africa,AfrOthers,2015,7,6843
Africa,AfrOthers,2015,8,10109
Africa,AfrOthers,2015,9,6958
Africa,AfrOthers,2015,10,6958
Africa,AfrOthers,2015,11,7651
Africa,AfrOthers,2015,12,8612
Africa,AfrOthers,2016,1,7087
Africa,AfrOthers,2016,2,6595
Africa,AfrOthers,2016,3,7828
Africa,AfrOthers,2016,4,7528
Africa,AfrOthers,2016,5,7315
Africa,AfrOthers,2016,6,5656
Africa,AfrOthers,2016,7,8780
Africa,AfrOthers,2016,8,11145
Africa,AfrOthers,2016,9,6934
Africa,AfrOthers,2016,10,6806
Africa,AfrOthers,2016,11,7968
Africa,AfrOthers,2016,12,9377
Africa,SoAfrica,2010,1,3535
Africa,SoAfrica,2010,2,2629
Africa,SoAfrica,2010,3,4395
Africa,SoAfrica,2010,4,4437
Africa,SoAfrica,2010,5,2682
Africa,SoAfrica,2010,6,3941
Africa,SoAfrica,2010,7,3699
Africa,SoAfrica,2010,8,4685
Africa,SoAfrica,2010,9,5999
Africa,SoAfrica,2010,10,5335
Africa,SoAfrica,2010,11,4280
Africa,SoAfrica,2010,12,11483
Africa,SoAfrica,2011,1,4995
Africa,SoAfrica,2011,2,3482
Africa,SoAfrica,2011,3,5231
Africa,SoAfrica,2011,4,7722
Africa,SoAfrica,2011,5,4104
Africa,SoAfrica,2011,6,5450
Africa,SoAfrica,2011,7,5499
Africa,SoAfrica,2011,8,4777
Africa,SoAfrica,2011,9,5486
Africa,SoAfrica,2011,10,5095
Africa,SoAfrica,2011,11,4185
Africa,SoAfrica,2011,12,12470
Africa,SoAfrica,2012,1,4943
Africa,SoAfrica,2012,2,4042
Africa,SoAfrica,2012,3,6203
Africa,SoAfrica,2012,4,7182
Africa,SoAfrica,2012,5,6463
Africa,SoAfrica,2012,6,7067
Africa,SoAfrica,2012,7,5674
Africa,SoAfrica,2012,8,4994
Africa,SoAfrica,2012,9,5794
Africa,SoAfrica,2012,10,5604
Africa,SoAfrica,2012,11,4837
Africa,SoAfrica,2012,12,13523
Africa,SoAfrica,2013,1,5233
Africa,SoAfrica,2013,2,3789
Africa,SoAfrica,2013,3,7630
Africa,SoAfrica,2013,4,5932
Africa,SoAfrica,2013,5,4456
Africa,SoAfrica,2013,6,7903
Africa,SoAfrica,2013,7,5460
Africa,SoAfrica,2013,8,4579
Africa,SoAfrica,2013,9,5746
Africa,SoAfrica,2013,10,5829
Africa,SoAfrica,2013,11,4943
Africa,SoAfrica,2013,12,14248
Africa,SoAfrica,2014,1,5170
Africa,SoAfrica,2014,2,3440
Africa,SoAfrica,2014,3,5206
Africa,SoAfrica,2014,4,8652
Africa,SoAfrica,2014,5,4575
Africa,SoAfrica,2014,6,5228
Africa,SoAfrica,2014,7,6271
Africa,SoAfrica,2014,8,4470
Africa,SoAfrica,2014,9,5105
Africa,SoAfrica,2014,10,5945
Africa,SoAfrica,2014,11,4647
Africa,SoAfrica,2014,12,14232
Africa,SoAfrica,2015,1,5299
Africa,SoAfrica,2015,2,3370
Africa,SoAfrica,2015,3,5531
Africa,SoAfrica,2015,4,8300
Africa,SoAfrica,2015,5,5299
Africa,SoAfrica,2015,6,6231
Africa,SoAfrica,2015,7,6183
Africa,SoAfrica,2015,8,4692
Africa,SoAfrica,2015,9,6650
Africa,SoAfrica,2015,10,6650
Africa,SoAfrica,2015,11,4714
Africa,SoAfrica,2015,12,14199
Africa,SoAfrica,2016,1,4738
Africa,SoAfrica,2016,2,3691
Africa,SoAfrica,2016,3,7170
Africa,SoAfrica,2016,4,6929
Africa,SoAfrica,2016,5,5540
Africa,SoAfrica,2016,6,6442
Africa,SoAfrica,2016,7,5824
Africa,SoAfrica,2016,8,4701
Africa,SoAfrica,2016,9,5859
Africa,SoAfrica,2016,10,7088
Africa,SoAfrica,2016,11,5267
Africa,SoAfrica,2016,12,15694
Americas,AmOthers,2010,1,3156
Americas,AmOthers,2010,2,2805
Americas,AmOthers,2010,3,2944
Americas,AmOthers,2010,4,3039
Americas,AmOthers,2010,5,2347
Americas,AmOthers,2010,6,2035
Americas,AmOthers,2010,7,2568
Americas,AmOthers,2010,8,2166
Americas,AmOthers,2010,9,2641
Americas,AmOthers,2010,10,3332
Americas,AmOthers,2010,11,3594
Americas,AmOthers,2010,12,3150
Americas,AmOthers,2011,1,3436
Americas,AmOthers,2011,2,3495
Americas,AmOthers,2011,3,3315
Americas,AmOthers,2011,4,3963
Americas,AmOthers,2011,5,3283
Americas,AmOthers,2011,6,2939
Americas,AmOthers,2011,7,3170
Americas,AmOthers,2011,8,2830
Americas,AmOthers,2011,9,2915
Americas,AmOthers,2011,10,3161
Americas,AmOthers,2011,11,2911
Americas,AmOthers,2011,12,3467
Americas,AmOthers,2012,1,3427
Americas,AmOthers,2012,2,3771
Americas,AmOthers,2012,3,3711
Americas,AmOthers,2012,4,6211
Americas,AmOthers,2012,5,3916
Americas,AmOthers,2012,6,3625
Americas,AmOthers,2012,7,3593
Americas,AmOthers,2012,8,3283
Americas,AmOthers,2012,9,3299
Americas,AmOthers,2012,10,4330
Americas,AmOthers,2012,11,3834
Americas,AmOthers,2012,12,4201
Americas,AmOthers,2013,1,4250
Americas,AmOthers,2013,2,4582
Americas,AmOthers,2013,3,5683
Americas,AmOthers,2013,4,4377
Americas,AmOthers,2013,5,4221
Americas,AmOthers,2013,6,3890
Americas,AmOthers,2013,7,4631
Americas,AmOthers,2013,8,3584
Americas,AmOthers,2013,9,4092
Americas,AmOthers,2013,10,5279
Americas,AmOthers,2013,11,5008
Americas,AmOthers,2013,12,5355
Americas,AmOthers,2014,1,5208
Americas,AmOthers,2014,2,5292
Americas,AmOthers,2014,3,4518
Americas,AmOthers,2014,4,5598
Americas,AmOthers,2014,5,4792
Americas,AmOthers,2014,6,3664
Americas,AmOthers,2014,7,4363
Americas,AmOthers,2014,8,3804
Americas,AmOthers,2014,9,4375
Americas,AmOthers,2014,10,4847
Americas,AmOthers,2014,11,5057
Americas,AmOthers,2014,12,5796
Americas,AmOthers,2015,1,5412
Americas,AmOthers,2015,2,5354
Americas,AmOthers,2015,3,5546
Americas,AmOthers,2015,4,5167
Americas,AmOthers,2015,5,5117
Americas,AmOthers,2015,6,4665
Americas,AmOthers,2015,7,5559
Americas,AmOthers,2015,8,4103
Americas,AmOthers,2015,9,5227
Americas,AmOthers,2015,10,5227
Americas,AmOthers,2015,11,5540
Americas,AmOthers,2015,12,6530
Americas,AmOthers,2016,1,6280
Americas,AmOthers,2016,2,6787
Americas,AmOthers,2016,3,6974
Americas,AmOthers,2016,4,5158
Americas,AmOthers,2016,5,5948
Americas,AmOthers,2016,6,5218
Americas,AmOthers,2016,7,5650
Americas,AmOthers,2016,8,4620
Americas,AmOthers,2016,9,5570
Americas,AmOthers,2016,10,6729
Americas,AmOthers,2016,11,7534
Americas,AmOthers,2016,12,7530
Americas,Argentina,2010,1,1135
Americas,Argentina,2010,2,1070
Americas,Argentina,2010,3,1122
Americas,Argentina,2010,4,1002
Americas,Argentina,2010,5,673
Americas,Argentina,2010,6,431
Americas,Argentina,2010,7,601
Americas,Argentina,2010,8,555
Americas,Argentina,2010,9,675
Americas,Argentina,2010,10,887
Americas,Argentina,2010,11,1193
Americas,Argentina,2010,12,948
Americas,Argentina,2011,1,1738
Americas,Argentina,2011,2,1569
Americas,Argentina,2011,3,1511
Americas,Argentina,2011,4,1200
Americas,Argentina,2011,5,781
Americas,Argentina,2011,6,598
Americas,Argentina,2011,7,667
Americas,Argentina,2011,8,682
Americas,Argentina,2011,9,715
Americas,Argentina,2011,10,875
Americas,Argentina,2011,11,1222
Americas,Argentina,2011,12,1412
Americas,Argentina,2012,1,2739
Americas,Argentina,2012,2,2281
Americas,Argentina,2012,3,2085
Americas,Argentina,2012,4,2015
Americas,Argentina,2012,5,1459
Americas,Argentina,2012,6,815
Americas,Argentina,2012,7,631
Americas,Argentina,2012,8,769
Americas,Argentina,2012,9,781
Americas,Argentina,2012,10,1376
Americas,Argentina,2012,11,1258
Americas,Argentina,2012,12,1644
Americas,Argentina,2013,1,3474
Americas,Argentina,2013,2,2634
Americas,Argentina,2013,3,2818
Americas,Argentina,2013,4,2018
Americas,Argentina,2013,5,1258
Americas,Argentina,2013,6,962
Americas,Argentina,2013,7,969
Americas,Argentina,2013,8,843
Americas,Argentina,2013,9,821
Americas,Argentina,2013,10,1487
Americas,Argentina,2013,11,1709
Americas,Argentina,2013,12,2042
Americas,Argentina,2014,1,3926
Americas,Argentina,2014,2,3058
Americas,Argentina,2014,3,3054
Americas,Argentina,2014,4,2101
Americas,Argentina,2014,5,1360
Americas,Argentina,2014,6,752
Americas,Argentina,2014,7,779
Americas,Argentina,2014,8,760
Americas,Argentina,2014,9,880
Americas,Argentina,2014,10,1274
Americas,Argentina,2014,11,1663
Americas,Argentina,2014,12,1831
Americas,Argentina,2015,1,3422
Americas,Argentina,2015,2,3359
Americas,Argentina,2015,3,4255
Americas,Argentina,2015,4,2798
Americas,Argentina,2015,5,1797
Americas,Argentina,2015,6,1301
Americas,Argentina,2015,7,1147
Americas,Argentina,2015,8,1115
Americas,Argentina,2015,9,1905
Americas,Argentina,2015,10,1905
Americas,Argentina,2015,11,2680
Americas,Argentina,2015,12,3962
Americas,Argentina,2016,1,6333
Americas,Argentina,2016,2,6339
Americas,Argentina,2016,3,6305
Americas,Argentina,2016,4,4068
Americas,Argentina,2016,5,3024
Americas,Argentina,2016,6,2047
Americas,Argentina,2016,7,1290
Americas,Argentina,2016,8,1204
Americas,Argentina,2016,9,1953
Americas,Argentina,2016,10,2960
Americas,Argentina,2016,11,4245
Americas,Argentina,2016,12,5527
Americas,Brazil,2010,1,2077
Americas,Brazil,2010,2,1783
Americas,Brazil,2010,3,1623
Americas,Brazil,2010,4,1681
Americas,Brazil,2010,5,1344
Americas,Brazil,2010,6,1077
Americas,Brazil,2010,7,1272
Americas,Brazil,2010,8,1489
Americas,Brazil,2010,9,1637
Americas,Brazil,2010,10,1947
Americas,Brazil,2010,11,1835
Americas,Brazil,2010,12,2625
Americas,Brazil,2011,1,2661
Americas,Brazil,2011,2,1898
Americas,Brazil,2011,3,2021
Americas,Brazil,2011,4,2179
Americas,Brazil,2011,5,1751
Americas,Brazil,2011,6,1593
Americas,Brazil,2011,7,1823
Americas,Brazil,2011,8,1771
Americas,Brazil,2011,9,1843
Americas,Brazil,2011,10,2238
Americas,Brazil,2011,11,1805
Americas,Brazil,2011,12,2977
Americas,Brazil,2012,1,3202
Americas,Brazil,2012,2,2595
Americas,Brazil,2012,3,2433
Americas,Brazil,2012,4,2878
Americas,Brazil,2012,5,2360
Americas,Brazil,2012,6,1833
Americas,Brazil,2012,7,1842
Americas,Brazil,2012,8,1792
Americas,Brazil,2012,9,1910
Americas,Brazil,2012,10,3044
Americas,Brazil,2012,11,2639
Americas,Brazil,2012,12,3859
Americas,Brazil,2013,1,3862
Americas,Brazil,2013,2,3150
Americas,Brazil,2013,3,2913
Americas,Brazil,2013,4,3188
Americas,Brazil,2013,5,2476
Americas,Brazil,2013,6,2155
Americas,Brazil,2013,7,2370
Americas,Brazil,2013,8,2161
Americas,Brazil,2013,9,2550
Americas,Brazil,2013,10,3273
Americas,Brazil,2013,11,3559
Americas,Brazil,2013,12,5606
Americas,Brazil,2014,1,4927
Americas,Brazil,2014,2,3734
Americas,Brazil,2014,3,4099
Americas,Brazil,2014,4,4397
Americas,Brazil,2014,5,3526
Americas,Brazil,2014,6,2135
Americas,Brazil,2014,7,2534
Americas,Brazil,2014,8,2483
Americas,Brazil,2014,9,2802
Americas,Brazil,2014,10,3791
Americas,Brazil,2014,11,5023
Americas,Brazil,2014,12,6927
Americas,Brazil,2015,1,6122
Americas,Brazil,2015,2,5138
Americas,Brazil,2015,3,4225
Americas,Brazil,2015,4,4131
Americas,Brazil,2015,5,3007
Americas,Brazil,2015,6,2799
Americas,Brazil,2015,7,2869
Americas,Brazil,2015,8,2233
Americas,Brazil,2015,9,3672
Americas,Brazil,2015,10,3672
Americas,Brazil,2015,11,5364
Americas,Brazil,2015,12,6478
Americas,Brazil,2016,1,5079
Americas,Brazil,2016,2,5356
Americas,Brazil,2016,3,4552
Americas,Brazil,2016,4,4543
Americas,Brazil,2016,5,3932
Americas,Brazil,2016,6,3521
Americas,Brazil,2016,7,3156
Americas,Brazil,2016,8,3078
Americas,Brazil,2016,9,3776
Americas,Brazil,2016,10,5731
Americas,Brazil,2016,11,11128
