club,last_name,first_name,position,base_salary,guaranteed_compensation
NY,Agudelo,Juan,F,40000.0,70000.0
KC,Aiyegbusi,Olukorede,D,40000.0,40000.0
COL,Akpan,Andre,F,40000.0,65000.0
NY,Albright,Chris,D,84000.0,84000.0
DAL,Alexander,Eric,M,40000.0,40000.0
RSL,Alexandre,Jean,M,40000.0,40000.0
DC,Allsopp,Danny,F,180000.0,217500.0
SEA,Alonso,Osvaldo,M,67925.0,68737.5
NE,Alston,Kevin,D,75000.0,124000.0
SJ,Alvarez,Arturo,M-F,183338.0,192675.5
COL,Amarikwa,Quincy,F,40000.0,40000.0
NY,Angel,Juan Pablo,F,1620000.0,1918000.0
HOU,Appiah,Samuel,M,40000.0,40000.0
KC,Arnaud,Davy,M,220000.0,228750.0
PHI,Arrieta,Christian,D,60000.0,64500.0
HOU,Ashe,Corey,M,40000.0,40000.0
TFC,Attakora-Gyan,Nana,D,40000.0,40000.0
KC,Auvray,Stephane,M,140000.0,148125.0
DAL,Avila,Eric,M,75000.0,108000.0
COL,Ballouchy,Mehdi,M,88800.0,88800.0
CHI,Banner,Michael,D,40000.0,40000.0
DC,Barklage,Brandon,M-F,40000.0,40000.0
NE,Barnes,Darrius,D,55000.0,56250.0
TFC,Barrett,Chad,F,205000.0,212500.0
CLB,Barros Schelotto,Guillermo,M-F,140000.0,241250.0
COL,Baudet,Julien,D,168000.0,181750.0
KC,Beasley,Jamar,M,40000.0,40000.0
RSL,Beckerman,Kyle,M,250000.0,250000.0
LA,Beckham,David,M,5500000.08,6500000.04
SJ,Beitashour,Steven,D,40000.0,40000.0
RSL,Beltran,Anthony,D,75000.0,110500.0
DAL,Benitez,Jair,D,42000.0,63250.0
LA,Berhalter,Gregg,D,180000.0,198750.0
KC,Besler,Matt,D,50600.0,61850.0
LA,Birchall,Chris,M,132000.0,145125.0
NE,Boggs,Zak,F-M,40000.0,40000.0
CHI,Bone,Corben,M,75000.0,136200.0
RSL,Borchers,Nat,D,140000.0,147500.0
CHV,Borja,Carlos,M,40000.0,40000.0
NY,Borman,Danleigh,M,40000.0,40000.0
CHV,Bornstein,Jonathan,D,100000.0,100000.0
DC,Boskovic,Branko,M,380000.0,516200.0
SEA,Boss,Terry,GK,40000.0,42500.0
HOU,Boswell,Robert,D,190000.0,190000.0
LA,Bowen,Tristan,F,70000.0,101363.63
NY,Boyens,Andrew,D,57005.0,62005.0
CHV,Braun,Justin,F,65000.0,67500.0
CHI,Brown,C.J.,D,95760.0,100560.0
CLB,Brunner,Eric,D,40000.0,40000.0
LA,Buddle,Edson,F,178448.0,188448.0
KC,Bunbury,Teal,F,65000.0,163000.0
DC,Burch,Marc,D,79000.0,81500.0
SJ,Burling,Bobby,D,40000.0,40000.0
CLB,Burns,Kevin,M,40000.0,40000.0
NE,Burpo,Preston,GK,70000.0,70000.0
SJ,Busch,Jon,GK,84000.0,90800.0
PHI,Califf,Daniel,D,250000.0,250000.0
HOU,Cameron,Geoff,M,40000.0,40000.0
RSL,Campos,Pablo,F,78750.0,83596.72
TFC,Cann,Adrian,D,56592.0,65342.0
SJ,Cannon,Joe,GK,190000.0,200256.25
CHI,Carr,Calen,F,71250.0,75500.0
PHI,Carreiro,Fred,M-F,250000.0,282000.0
CLB,Carroll,Brian,M,140569.0,144319.0
COL,Casey,Conor,F,350000.0,350000.0
CHI,Castillo,Nery,M-F,1400004.0,1788060.5
COL,Ceus,Steward,GK,40000.0,40000.0
HOU,Chabala,Michael,M,40000.0,40000.0
DAL,Chavez,Marvin,M,60000.0,70000.0
KC,Chhetri,Sunil,F,100008.0,110008.0
CHV,Chijindu,Chukwudi,M,40000.0,40000.0
HOU,Ching,Brian,F,350000.0,350000.0
NY,Chinn,Conor,F,40000.0,40000.0
NY,Chirgadze,Giorgi,F,40000.0,40000.0
COL,Clark,Colin,M,89250.0,94250.0
HOU,Cochrane,Ryan,D,100000.0,100000.0
NE,Colaluca,Nico,M,100000.0,133000.0
CHI,Conde,Wilman,D,180000.0,200000.0
KC,Conrad,Jimmy,D,232750.0,244000.0
SJ,Convey,Bobby,M,285000.0,307500.0
TFC,Conway,Jon,GK,60000.0,69833.33
SJ,Corrales,Ramiro,M,150000.0,160625.0
PHI,Coudet,Eduardo,M,180000.0,185000.0
NY,Coundoul,Bouna,GK,155000.0,156250.0
DC,Cristman,Adam,F,40000.0,40000.0
SJ,Cronin,Sam,M,57500.0,105500.0
HOU,Cruz,Danny,M,75000.0,118000.0
CHV,Cuesta,Yamin,D,42000.0,44500.0
COL,Cummings,Omar,F,71500.0,80250.0
DAL,Cunningham,Jeffrey,F,220000.0,230125.0
NY,Da Luz,Austin,M,40000.0,52125.0
SJ,Da Silva,Eduardo,F,48000.0,48000.0
DAL,Davies,Kyle,D,57500.0,57500.0
HOU,Davis,Brad,M,215000.04,258062.54
TFC,de Guzman,Julian,M,1670796.0,1717546.0
LA,DeLaGarza,AJ,D,45100.0,45100.0
CHV,Delgado,Dario,D,42000.0,42000.0
HOU,Deric,Tyler,GK,40000.0,40000.0
TFC,DeRosario,Dwayne,M,375000.0,443750.0
CHI,Dimitrov,Stefan,F,40000.0,40000.0
KC,Diop,Ibrahim,M,57000.0,58250.0
LA,Donovan,Landon,F,2050000.0,2127777.78
LA,Dos Santos Cazumba,Alex,D,70000.0,80000.0
NE,Dube,Mkhokheli,F,80000.0,89000.0
CLB,Duka,Dilaver,M,80000.0,213000.0
LA,Dunivant,Todd,D,120000.0,126750.0
CHI,Dykstra,Andrew,GK,40000.0,40000.0
COL,Earls,Danny,D-M,40000.0,41250.0
DAL,Edward,Edson,D,40000.0,40000.0
CLB,Ekpo,Emmanuel,M,155000.0,177250.0
RSL,Espindola,Fabian,F,75000.0,75000.0
CHV,Espinoza,Rodolfo,M,216000.0,218500.0
KC,Espinoza,Roger,M,75000.0,108750.0
SEA,Estrada,David,F,40000.0,40000.0
SEA,Evans,Brad,F,110000.0,123750.0
SEA,Fernandez,Alvaro,M,300000.0,300000.0
DAL,Ferreira,David,M-F,300000.0,300000.0
RSL,Findley,Robert,F,73566.0,87316.0
CHV,Flores,Jorge,F,40000.0,40000.0
CLB,Francis,Shaun,D,40000.0,40000.0
LA,Franklin,Sean,D,73535.0,87285.0
TFC,Frei,Stefan,GK,80000.0,135000.0
SEA,Fucito,Michael,MF,40000.0,40000.0
TFC,Gala,Gabe,D-M,40000.0,40000.0
CHV,Galindo,Maykel,F,96498.0,96498.0
NY,Garcia,Irving,M,40000.0,40000.0
TFC,Garcia,Nick,D,190000.0,198750.0
CLB,Garey,Jason,F,75000.0,76250.0
TFC,Gargan,Daniel,M,40000.0,40000.0
CLB,Gaven,Eddie,M-F,190575.0,190575.0
CHV,Gavin,Blair,M,50000.0,69000.0
NE,Gibbs,Cory,D,121000.0,128142.86
RSL,Gil,Luis,M,85500.0,180583.33
SJ,Gjertsen,Joey,M,65000.0,73625.0
SJ,Glen,Cornell,F,85000.0,99875.0
None,Goldthwaite,Kevin,D,120000.0,129000.0
LA,Gomes,Juninho,M,70000.0,80000.0
TFC,Gomez,Emmanuel,D,40000.0,45600.0
DAL,Goncalves,Jackson,D,64620.0,75870.0
LA,Gonzalez,Omar,D,80000.0,157000.0
PHI,Gonzalez,Juan Diego,D,180000.0,184462.5
RSL,Gonzalez,Nelson,M-F,40008.0,40008.0
SEA,Gonzalez,Leonardo,D,72000.0,72000.0
